Date,Unit,Target SFC,Actual SFC,Target Heat Rate,Actual Heat Rate
2025-03-02,Unit 3,455,447.5,2950,2932.09
2025-03-03,Unit 1,455,449.27,2950,2940.44
2025-03-03,Unit 2,455,456.99,2950,2943.23
2025-03-03,Unit 3,455,450.08,2950,2926.09
2025-03-04,Unit 1,455,445.97,2950,2907.59
2025-03-04,Unit 2,455,452.58,2950,2938.83
2025-03-04,Unit 3,455,457.5,2950,2991.89
2025-03-05,Unit 1,455,447.93,2950,2904.46
2025-03-05,Unit 2,455,455.62,2950,3001.92
2025-03-05,Unit 3,455,458.49,2950,2999.11
2025-03-06,Unit 1,455,452.06,2950,2968.9
2025-03-06,Unit 2,455,446.59,2950,2910.65
2025-03-06,Unit 3,455,454.47,2950,2973.24
2025-03-07,Unit 1,455,457.49,2950,2960.02
2025-03-07,Unit 2,455,454.54,2950,2924.6
2025-03-07,Unit 3,455,463.66,2950,3026.09
2025-03-08,Unit 1,455,458.19,2950,2969.34
2025-03-08,Unit 2,455,455.19,2950,2961.37
2025-03-08,Unit 3,455,463.87,2950,2966.14
2025-03-09,Unit 1,455,451.95,2950,2926.04
2025-03-09,Unit 2,455,451.39,2950,2936.29
2025-03-09,Unit 3,455,463.57,2950,3010.1
2025-03-10,Unit 1,455,458.55,2950,2971.2
2025-03-10,Unit 2,455,459.31,2950,2967.75
2025-03-10,Unit 3,455,451.56,2950,2921.34
2025-03-11,Unit 1,455,455.7,2950,2956.11
2025-03-11,Unit 2,455,464.4,2950,2997.32
2025-03-11,Unit 3,455,457.66,2950,2970.77
2025-03-12,Unit 1,455,454.6,2950,2954.75
2025-03-12,Unit 2,455,454.93,2950,2951.26
2025-03-12,Unit 3,455,450.34,2950,2891.06
2025-03-13,Unit 1,455,448.75,2950,2909.14
2025-03-13,Unit 2,455,452.28,2950,2931.72
2025-03-13,Unit 3,455,451.65,2950,2964.76
2025-03-14,Unit 1,455,443.38,2950,2864.29
2025-03-14,Unit 2,455,466.73,2950,3022.52
2025-03-14,Unit 3,455,445.55,2950,2896.31
2025-03-15,Unit 1,455,461.16,2950,2971.71
2025-03-15,Unit 2,455,450.03,2950,2912.18
2025-03-15,Unit 3,455,455.87,2950,2941.52
2025-03-16,Unit 1,455,456.47,2950,2944.91
2025-03-16,Unit 2,455,453.58,2950,2972.85
2025-03-16,Unit 3,455,456.48,2950,2967.41
2025-03-17,Unit 1,455,465.59,2950,2974.75
2025-03-17,Unit 2,455,454.51,2950,2949.54
2025-03-17,Unit 3,455,450.02,2950,2927.93
2025-03-18,Unit 1,455,456.83,2950,2949.21
2025-03-18,Unit 2,455,456.51,2950,2947.44
2025-03-18,Unit 3,455,453.75,2950,2950.83
2025-03-19,Unit 1,455,450.45,2950,2940.6
2025-03-19,Unit 2,455,453.72,2950,2946.71
2025-03-19,Unit 3,455,460.81,2950,2991.23
2025-03-20,Unit 1,455,461.07,2950,2989.3
2025-03-20,Unit 2,455,466.07,2950,2992.86
2025-03-20,Unit 3,455,464.11,2950,2999.51
2025-03-21,Unit 1,455,452.99,2950,2964.16
2025-03-21,Unit 2,455,466.73,2950,3005.89
2025-03-21,Unit 3,455,462.76,2950,3020.91
2025-03-22,Unit 1,455,448.62,2950,2918.49
2025-03-22,Unit 2,455,455.67,2950,2965.19
2025-03-22,Unit 3,455,459.06,2950,2950.05
2025-03-23,Unit 1,455,450.23,2950,2915.09
2025-03-23,Unit 2,455,447.14,2950,2875.88
2025-03-23,Unit 3,455,462.33,2950,2992.26
2025-03-24,Unit 1,455,452.25,2950,2924.01
2025-03-24,Unit 2,455,458.94,2950,2992.04
2025-03-24,Unit 3,455,454.15,2950,2945.92
2025-03-25,Unit 1,455,448.45,2950,2939.22
2025-03-25,Unit 2,455,452.02,2950,2915.33
2025-03-25,Unit 3,455,442.46,2950,2878.18
2025-03-26,Unit 1,455,457.86,2950,2942.49
2025-03-26,Unit 2,455,450.95,2950,2931.31
2025-03-26,Unit 3,455,467.6,2950,2994.54
2025-03-27,Unit 1,455,461.92,2950,2973.36
2025-03-27,Unit 2,455,461.99,2950,2990.64
2025-03-27,Unit 3,455,466.48,2950,3027.2
2025-03-28,Unit 1,455,447.92,2950,2922.86
2025-03-28,Unit 2,455,446.56,2950,2909.24
2025-03-28,Unit 3,455,450.83,2950,2940.49
2025-03-29,Unit 1,455,459.99,2950,2971.42
2025-03-29,Unit 2,455,458.82,2950,2944.33
2025-03-29,Unit 3,455,455.29,2950,2929.13
2025-03-30,Unit 1,455,450.99,2950,2947.77
2025-03-30,Unit 2,455,457.94,2950,2970.75
2025-03-30,Unit 3,455,464.32,2950,3009.29
2025-03-31,Unit 1,455,460.11,2950,3001.9
2025-03-31,Unit 2,455,457.3,2950,2970.95
2025-03-31,Unit 3,455,454.56,2950,2944.72
2025-04-01,Unit 1,455,455.76,2950,2934.92
2025-04-01,Unit 2,455,458.72,2950,2970.35
2025-04-01,Unit 3,455,445.25,2950,2904.5
2025-04-02,Unit 1,455,450.86,2950,2879.44
2025-04-02,Unit 2,455,457.83,2950,2968.06
2025-04-02,Unit 3,455,458.47,2950,2948.0
2025-04-03,Unit 1,455,449.93,2950,2916.69
2025-04-03,Unit 2,455,452.36,2950,2931.38
2025-04-03,Unit 3,455,451.4,2950,2944.45
2025-04-04,Unit 1,455,456.13,2950,2953.05
2025-04-04,Unit 2,455,448.8,2950,2941.99
2025-04-04,Unit 3,455,448.81,2950,2942.03
2025-04-05,Unit 1,455,455.67,2950,2942.39
2025-04-05,Unit 2,455,459.29,2950,2968.54
2025-04-05,Unit 3,455,455.13,2950,2937.34
2025-04-06,Unit 1,455,450.97,2950,2922.84
2025-04-06,Unit 2,455,452.74,2950,2951.08
2025-04-06,Unit 3,455,448.84,2950,2915.14
2025-04-07,Unit 1,455,450.39,2950,2932.15
2025-04-07,Unit 2,455,461.37,2950,2982.83
2025-04-07,Unit 3,455,454.02,2950,2941.99
2025-04-08,Unit 1,455,457.57,2950,2967.24
2025-04-08,Unit 2,455,451.77,2950,2917.72
2025-04-08,Unit 3,455,456.7,2950,2951.89
2025-04-09,Unit 1,455,449.64,2950,2926.05
2025-04-09,Unit 2,455,462.38,2950,2981.75
2025-04-09,Unit 3,455,445.0,2950,2917.37
2025-04-10,Unit 1,455,457.18,2950,2950.3
2025-04-10,Unit 2,455,448.0,2950,2881.13
2025-04-10,Unit 3,455,456.89,2950,2953.52
2025-04-11,Unit 1,455,457.88,2950,2962.99
2025-04-11,Unit 2,455,456.51,2950,2982.27
2025-04-11,Unit 3,455,458.06,2950,2960.8
2025-04-12,Unit 1,455,458.45,2950,2951.09
2025-04-12,Unit 2,455,449.44,2950,2936.59
2025-04-12,Unit 3,455,452.2,2950,2928.98
2025-04-13,Unit 1,455,457.01,2950,2931.08
2025-04-13,Unit 2,455,452.84,2950,2927.11
2025-04-13,Unit 3,455,449.38,2950,2917.19
2025-04-14,Unit 1,455,454.12,2950,2933.1
2025-04-14,Unit 2,455,463.51,2950,2987.06
2025-04-14,Unit 3,455,455.27,2950,2959.67
2025-04-15,Unit 1,455,459.46,2950,2996.67
2025-04-15,Unit 2,455,447.27,2950,2899.22
2025-04-15,Unit 3,455,452.87,2950,2936.57
2025-04-16,Unit 1,455,460.33,2950,2982.45
2025-04-16,Unit 2,455,458.09,2950,2971.04
2025-04-16,Unit 3,455,451.33,2950,2932.93
2025-04-17,Unit 1,455,453.37,2950,2955.08
2025-04-17,Unit 2,455,452.54,2950,2905.44
2025-04-17,Unit 3,455,445.02,2950,2919.26
2025-04-18,Unit 1,455,450.64,2950,2916.35
2025-04-18,Unit 2,455,462.18,2950,3007.56
2025-04-18,Unit 3,455,451.35,2950,2947.02
2025-04-19,Unit 1,455,448.92,2950,2944.93
2025-04-19,Unit 2,455,454.77,2950,2941.14
2025-04-19,Unit 3,455,455.23,2950,2962.69
2025-04-20,Unit 1,455,445.92,2950,2877.69
2025-04-20,Unit 2,455,452.05,2950,2957.04
2025-04-20,Unit 3,455,459.73,2950,2976.85
2025-04-21,Unit 1,455,450.32,2950,2947.19
2025-04-21,Unit 2,455,445.72,2950,2912.55
2025-04-21,Unit 3,455,455.36,2950,2964.41
2025-04-22,Unit 1,455,450.64,2950,2924.68
2025-04-22,Unit 2,455,457.55,2950,2981.35
2025-04-22,Unit 3,455,462.1,2950,3006.5
2025-04-23,Unit 1,455,452.37,2950,2924.41
2025-04-23,Unit 2,455,451.36,2950,2940.91
2025-04-23,Unit 3,455,457.67,2950,2975.14
2025-04-24,Unit 1,455,460.96,2950,2940.17
2025-04-24,Unit 2,455,461.47,2950,2961.27
2025-04-24,Unit 3,455,446.12,2950,2896.64
2025-04-25,Unit 1,455,444.94,2950,2907.26
2025-04-25,Unit 2,455,450.6,2950,2950.48
2025-04-25,Unit 3,455,451.85,2950,2939.23
2025-04-26,Unit 1,455,451.97,2950,2937.28
2025-04-26,Unit 2,455,451.26,2950,2934.37
2025-04-26,Unit 3,455,453.94,2950,2919.07
2025-04-27,Unit 1,455,450.77,2950,2916.6
2025-04-27,Unit 2,455,445.32,2950,2920.17
2025-04-27,Unit 3,455,452.86,2950,2944.33
2025-04-28,Unit 1,455,444.92,2950,2892.92
2025-04-28,Unit 2,455,447.68,2950,2894.73
2025-04-28,Unit 3,455,451.84,2950,2931.35
2025-04-29,Unit 1,455,458.92,2950,2961.11
2025-04-29,Unit 2,455,461.31,2950,2996.41
2025-04-29,Unit 3,455,450.89,2950,2942.14
2025-04-30,Unit 1,455,459.85,2950,2948.14
2025-04-30,Unit 2,455,456.13,2950,2932.38
2025-04-30,Unit 3,455,454.42,2950,2945.75
2025-05-01,Unit 1,455,461.91,2950,2981.83
2025-05-01,Unit 2,455,460.51,2950,2959.54
2025-05-01,Unit 3,455,460.09,2950,2969.92
2025-05-02,Unit 1,455,461.45,2950,2968.4
2025-05-02,Unit 2,455,452.64,2950,2949.63
2025-05-02,Unit 3,455,455.69,2950,2964.0
2025-05-03,Unit 1,455,457.07,2950,2975.7
2025-05-03,Unit 2,455,455.37,2950,2942.61
2025-05-03,Unit 3,455,451.68,2950,2947.05
2025-05-04,Unit 1,455,452.03,2950,2932.67
2025-05-04,Unit 2,455,457.37,2950,2962.38
2025-05-04,Unit 3,455,449.95,2950,2918.99
2025-05-05,Unit 1,455,455.57,2950,2974.39
2025-05-05,Unit 2,455,459.48,2950,2980.5
2025-05-05,Unit 3,455,456.48,2950,2968.2
2025-05-06,Unit 1,455,446.51,2950,2887.82
2025-05-06,Unit 2,455,452.75,2950,2915.64
2025-05-06,Unit 3,455,458.34,2950,2952.18
2025-05-07,Unit 1,455,462.31,2950,3000.78
2025-05-07,Unit 2,455,454.97,2950,2916.92
2025-05-07,Unit 3,455,457.32,2950,2982.52
2025-05-08,Unit 1,455,450.61,2950,2922.93
2025-05-08,Unit 2,455,449.01,2950,2910.82
2025-05-08,Unit 3,455,452.25,2950,2935.78
2025-05-09,Unit 1,455,461.68,2950,2984.33
2025-05-09,Unit 2,455,445.69,2950,2897.27
2025-05-09,Unit 3,455,456.88,2950,2950.7
2025-05-10,Unit 1,455,449.16,2950,2940.5
2025-05-10,Unit 2,455,461.32,2950,2969.08
2025-05-10,Unit 3,455,461.44,2950,2973.86
2025-05-11,Unit 1,455,455.67,2950,2971.09
2025-05-11,Unit 2,455,460.13,2950,3011.53
2025-05-11,Unit 3,455,456.14,2950,2957.5
2025-05-12,Unit 1,455,450.83,2950,2901.37
2025-05-12,Unit 2,455,452.34,2950,2919.42
2025-05-12,Unit 3,455,456.54,2950,2933.45
2025-05-13,Unit 1,455,454.5,2950,2963.49
2025-05-13,Unit 2,455,450.58,2950,2914.14
2025-05-13,Unit 3,455,455.99,2950,2964.92
2025-05-14,Unit 1,455,463.31,2950,2986.12
2025-05-14,Unit 2,455,458.0,2950,2962.31
2025-05-14,Unit 3,455,455.71,2950,2963.3
2025-05-15,Unit 1,455,457.53,2950,2967.04
2025-05-15,Unit 2,455,457.62,2950,2951.73
2025-05-15,Unit 3,455,455.13,2950,2927.6
2025-05-16,Unit 1,455,454.77,2950,2958.12
2025-05-16,Unit 2,455,456.81,2950,2958.15
2025-05-16,Unit 3,455,453.17,2950,2941.06
2025-05-17,Unit 1,455,462.24,2950,2977.23
2025-05-17,Unit 2,455,461.96,2950,2983.32
2025-05-17,Unit 3,455,453.95,2950,2940.15
2025-05-18,Unit 1,455,457.15,2950,2979.26
2025-05-18,Unit 2,455,457.63,2950,2980.2
2025-05-18,Unit 3,455,457.41,2950,2950.14
2025-05-19,Unit 1,455,463.83,2950,3022.18
2025-05-19,Unit 2,455,455.13,2950,2972.17
2025-05-19,Unit 3,455,453.79,2950,2946.4
2025-05-20,Unit 1,455,463.57,2950,2986.96
2025-05-20,Unit 2,455,455.92,2950,2965.44
2025-05-20,Unit 3,455,456.61,2950,2959.22
2025-05-21,Unit 1,455,461.18,2950,2984.82
2025-05-21,Unit 2,455,456.31,2950,2948.04
2025-05-21,Unit 3,455,451.56,2950,2924.0
2025-05-22,Unit 1,455,451.41,2950,2935.39
2025-05-22,Unit 2,455,457.05,2950,2964.18
2025-05-22,Unit 3,455,454.91,2950,2937.5
2025-05-23,Unit 1,455,456.25,2950,2939.78
2025-05-23,Unit 2,455,455.55,2950,2980.65
2025-05-23,Unit 3,455,447.03,2950,2916.22
2025-05-24,Unit 1,455,459.92,2950,2958.85
2025-05-24,Unit 2,455,448.89,2950,2918.74
2025-05-24,Unit 3,455,459.82,2950,2967.14
2025-05-25,Unit 1,455,450.8,2950,2923.38
2025-05-25,Unit 2,455,451.99,2950,2933.94
2025-05-25,Unit 3,455,451.43,2950,2927.31
2025-05-26,Unit 1,455,453.21,2950,2938.34
2025-05-26,Unit 2,455,463.9,2950,3018.89
2025-05-26,Unit 3,455,448.9,2950,2917.52
2025-05-27,Unit 1,455,462.18,2950,2998.54
2025-05-27,Unit 2,455,458.69,2950,2987.89
2025-05-27,Unit 3,455,456.9,2950,2946.84
2025-05-28,Unit 1,455,456.62,2950,2957.71
2025-05-28,Unit 2,455,456.55,2950,2959.14
2025-05-28,Unit 3,455,458.12,2950,2944.83
2025-05-29,Unit 1,455,460.42,2950,2976.28
2025-05-29,Unit 2,455,452.2,2950,2932.71
2025-05-29,Unit 3,455,458.76,2950,2974.94
2025-05-30,Unit 1,455,450.32,2950,2938.86
2025-05-30,Unit 2,455,455.35,2950,2929.52
2025-05-30,Unit 3,455,454.9,2950,2955.56
2025-05-31,Unit 1,455,459.83,2950,2977.53
2025-05-31,Unit 2,455,455.24,2950,2931.13
2025-05-31,Unit 3,455,458.35,2950,2969.04
2025-06-01,Unit 1,455,445.06,2950,2902.24
2025-06-01,Unit 2,455,462.04,2950,2969.25
2025-06-01,Unit 3,455,448.19,2950,2913.83
2025-06-02,Unit 1,455,465.44,2950,2991.82
2025-06-02,Unit 2,455,459.34,2950,2957.84
2025-06-02,Unit 3,455,451.42,2950,2945.55
2025-06-03,Unit 1,455,459.92,2950,2971.73
2025-06-03,Unit 2,455,455.55,2950,2961.42
2025-06-03,Unit 3,455,453.54,2950,2943.93
2025-06-04,Unit 1,455,453.78,2950,2913.42
2025-06-04,Unit 2,455,453.39,2950,2943.95
2025-06-04,Unit 3,455,453.29,2950,2894.96
2025-06-05,Unit 1,455,456.57,2950,2949.81
2025-06-05,Unit 2,455,457.86,2950,2949.37
2025-06-05,Unit 3,455,453.58,2950,2908.08
2025-06-06,Unit 1,455,451.94,2950,2945.64
2025-06-06,Unit 2,455,450.0,2950,2932.28
2025-06-06,Unit 3,455,446.07,2950,2894.29
2025-06-07,Unit 1,455,462.56,2950,3007.68
2025-06-07,Unit 2,455,449.69,2950,2916.42
2025-06-07,Unit 3,455,458.27,2950,2969.56
2025-06-08,Unit 1,455,452.43,2950,2921.06
2025-06-08,Unit 2,455,461.51,2950,2987.35
2025-06-08,Unit 3,455,451.41,2950,2944.3
2025-06-09,Unit 1,455,458.68,2950,2941.96
2025-06-09,Unit 2,455,473.04,2950,3036.47
2025-06-09,Unit 3,455,457.12,2950,2962.41
2025-06-10,Unit 1,455,454.96,2950,2924.46
2025-06-10,Unit 2,455,457.51,2950,2955.09
2025-06-10,Unit 3,455,459.42,2950,2988.06
2025-06-11,Unit 1,455,455.92,2950,2964.41
2025-06-11,Unit 2,455,458.53,2950,2982.19
2025-06-11,Unit 3,455,453.64,2950,2922.32
2025-06-12,Unit 1,455,456.89,2950,2948.52
2025-06-12,Unit 2,455,453.25,2950,2927.44
2025-06-12,Unit 3,455,446.01,2950,2931.49
2025-06-13,Unit 1,455,464.98,2950,2968.39
2025-06-13,Unit 2,455,453.77,2950,2937.48
2025-06-13,Unit 3,455,452.09,2950,2959.42
2025-06-14,Unit 1,455,453.05,2950,2933.16
2025-06-14,Unit 2,455,452.23,2950,2943.51
2025-06-14,Unit 3,455,448.65,2950,2931.99
2025-06-15,Unit 1,455,445.64,2950,2920.53
2025-06-15,Unit 2,455,449.85,2950,2917.74
2025-06-15,Unit 3,455,454.18,2950,2949.95
2025-06-16,Unit 1,455,448.84,2950,2899.13
2025-06-16,Unit 2,455,457.8,2950,2969.75
2025-06-16,Unit 3,455,451.11,2950,2930.54
2025-06-17,Unit 1,455,455.53,2950,2932.99
2025-06-17,Unit 2,455,466.14,2950,3018.37
2025-06-17,Unit 3,455,453.54,2950,2935.02
2025-06-18,Unit 1,455,450.75,2950,2937.59
2025-06-18,Unit 2,455,452.5,2950,2930.81
2025-06-18,Unit 3,455,452.76,2950,2937.24
2025-06-19,Unit 1,455,452.68,2950,2942.48
2025-06-19,Unit 2,455,449.3,2950,2926.13
2025-06-19,Unit 3,455,454.73,2950,2951.95
2025-06-20,Unit 1,455,443.67,2950,2878.53
2025-06-20,Unit 2,455,453.28,2950,2969.89
2025-06-20,Unit 3,455,453.23,2950,2946.46
2025-06-21,Unit 1,455,446.24,2950,2899.75
2025-06-21,Unit 2,455,458.59,2950,2946.99
