Date,Unit,GAR,Moisture (%),Ash (%),Sulfur (%),HGI
2025-03-08,Unit 1,4287.4,27.83,5.87,0.39,46.0
2025-03-08,Unit 2,4311.4,28.75,5.94,0.414,49.1
2025-03-08,Unit 3,4267.1,27.66,6.26,0.388,48.4
2025-03-09,Unit 1,4353.1,27.56,5.95,0.432,49.1
2025-03-09,Unit 2,4439.6,27.67,5.47,0.419,47.9
2025-03-09,Unit 3,4263.4,29.07,5.95,0.463,48.8
2025-03-10,Unit 1,4355.5,27.73,6.94,0.39,50.0
2025-03-10,Unit 2,4361.7,27.85,6.35,0.444,46.3
2025-03-10,Unit 3,4345.6,27.61,6.12,0.467,46.3
2025-03-11,Unit 1,4354.1,29.24,5.83,0.376,48.3
2025-03-11,Unit 2,4286.0,27.34,6.17,0.371,47.6
2025-03-11,Unit 3,4335.0,27.75,6.58,0.437,45.8
2025-03-12,Unit 1,4343.9,28.33,6.29,0.472,48.3
2025-03-12,Unit 2,4346.0,27.56,6.51,0.396,48.9
2025-03-12,Unit 3,4441.6,26.75,6.18,0.454,48.6
2025-03-13,Unit 1,4431.0,26.91,6.26,0.4,48.9
2025-03-13,Unit 2,4378.8,26.97,5.91,0.434,51.0
2025-03-13,Unit 3,4385.3,27.64,6.06,0.428,47.1
2025-03-14,Unit 1,4440.3,27.75,6.17,0.4,49.6
2025-03-14,Unit 2,4306.6,28.57,6.71,0.404,44.1
2025-03-14,Unit 3,4406.8,27.57,5.77,0.426,46.3
2025-03-15,Unit 1,4345.6,28.83,6.0,0.456,48.1
2025-03-15,Unit 2,4388.1,26.23,6.93,0.446,47.7
2025-03-15,Unit 3,4394.3,27.27,5.87,0.474,49.2
2025-03-16,Unit 1,4326.1,29.14,6.72,0.449,48.2
2025-03-16,Unit 2,4376.0,26.8,6.52,0.39,47.2
2025-03-16,Unit 3,4371.4,28.71,6.1,0.474,48.5
2025-03-17,Unit 1,4312.3,28.36,6.29,0.407,46.6
2025-03-17,Unit 2,4381.8,27.82,6.28,0.41,50.2
2025-03-17,Unit 3,4441.6,29.54,5.67,0.4,45.9
2025-03-18,Unit 1,4350.3,29.08,6.14,0.406,48.1
2025-03-18,Unit 2,4377.1,27.89,6.5,0.414,45.1
2025-03-18,Unit 3,4356.6,27.97,6.41,0.446,48.5
2025-03-19,Unit 1,4363.8,27.96,6.21,0.397,47.5
2025-03-19,Unit 2,4290.1,27.48,6.17,0.377,46.2
2025-03-19,Unit 3,4328.1,27.78,6.7,0.46,45.4
2025-03-20,Unit 1,4284.1,28.14,6.16,0.39,45.4
2025-03-20,Unit 2,4294.7,29.23,6.22,0.442,49.5
2025-03-20,Unit 3,4316.6,28.94,6.31,0.429,48.1
2025-03-21,Unit 1,4364.4,28.45,5.99,0.394,51.4
2025-03-21,Unit 2,4294.0,28.17,6.63,0.44,48.3
2025-03-21,Unit 3,4281.3,28.23,6.44,0.412,50.2
2025-03-22,Unit 1,4429.7,27.39,6.04,0.446,47.2
2025-03-22,Unit 2,4330.3,29.15,5.82,0.444,47.4
2025-03-22,Unit 3,4336.7,27.51,5.87,0.395,53.9
2025-03-23,Unit 1,4374.6,27.55,6.37,0.457,45.2
2025-03-23,Unit 2,4407.9,28.08,6.1,0.444,43.3
2025-03-23,Unit 3,4239.6,27.67,6.39,0.432,50.9
2025-03-24,Unit 1,4394.8,29.47,6.12,0.41,46.2
2025-03-24,Unit 2,4360.3,28.03,6.65,0.405,48.8
2025-03-24,Unit 3,4439.5,29.11,6.19,0.478,47.8
2025-03-25,Unit 1,4351.5,26.84,6.11,0.418,53.2
2025-03-25,Unit 2,4364.9,28.31,6.18,0.457,50.2
2025-03-25,Unit 3,4399.5,27.63,6.19,0.422,49.7
2025-03-26,Unit 1,4347.3,27.54,6.25,0.412,51.1
2025-03-26,Unit 2,4342.7,28.52,6.29,0.429,50.9
2025-03-26,Unit 3,4263.4,28.24,6.54,0.443,46.4
2025-03-27,Unit 1,4299.5,29.59,6.36,0.432,51.2
2025-03-27,Unit 2,4299.8,28.28,6.51,0.429,48.8
2025-03-27,Unit 3,4277.3,26.34,6.18,0.436,51.3
2025-03-28,Unit 1,4373.9,27.24,6.34,0.379,49.7
2025-03-28,Unit 2,4360.4,27.57,5.9,0.361,48.7
2025-03-28,Unit 3,4336.8,28.59,6.3,0.429,48.9
2025-03-29,Unit 1,4279.7,28.51,6.25,0.418,47.6
2025-03-29,Unit 2,4319.2,27.68,6.14,0.42,47.7
2025-03-29,Unit 3,4385.4,28.94,6.27,0.388,50.1
2025-03-30,Unit 1,4394.7,28.44,6.41,0.468,47.9
2025-03-30,Unit 2,4350.1,26.98,6.53,0.452,45.4
2025-03-30,Unit 3,4334.1,29.46,6.49,0.434,49.0
2025-03-31,Unit 1,4248.8,27.76,6.27,0.385,48.8
2025-03-31,Unit 2,4347.0,27.64,6.26,0.397,45.7
2025-03-31,Unit 3,4360.1,28.66,6.19,0.434,47.0
2025-04-01,Unit 1,4322.9,27.97,6.57,0.344,47.2
2025-04-01,Unit 2,4384.0,29.2,6.18,0.383,46.6
2025-04-01,Unit 3,4411.8,27.4,5.94,0.378,46.9
2025-04-02,Unit 1,4399.0,28.11,5.84,0.405,51.4
2025-04-02,Unit 2,4339.1,28.84,6.04,0.361,47.0
2025-04-02,Unit 3,4300.7,28.53,5.57,0.446,46.2
2025-04-03,Unit 1,4365.2,27.85,6.22,0.433,47.3
2025-04-03,Unit 2,4366.1,28.37,6.36,0.391,46.6
2025-04-03,Unit 3,4404.2,28.55,6.16,0.384,46.6
2025-04-04,Unit 1,4379.7,28.8,6.61,0.438,51.8
2025-04-04,Unit 2,4395.2,28.6,6.24,0.408,49.4
2025-04-04,Unit 3,4378.9,27.64,6.39,0.443,46.7
2025-04-05,Unit 1,4333.4,27.1,6.06,0.458,46.9
2025-04-05,Unit 2,4343.0,28.53,6.23,0.459,46.6
2025-04-05,Unit 3,4345.4,28.17,6.67,0.45,49.7
2025-04-06,Unit 1,4306.5,26.98,6.17,0.396,46.4
2025-04-06,Unit 2,4347.8,28.39,5.71,0.42,52.2
2025-04-06,Unit 3,4372.6,28.56,6.39,0.386,44.6
2025-04-07,Unit 1,4355.8,28.49,6.27,0.428,47.9
2025-04-07,Unit 2,4277.8,29.1,6.08,0.416,46.2
2025-04-07,Unit 3,4376.6,28.07,6.15,0.411,47.5
2025-04-08,Unit 1,4357.6,28.21,6.47,0.465,47.3
2025-04-08,Unit 2,4331.6,26.78,5.99,0.443,48.0
2025-04-08,Unit 3,4339.9,28.12,6.24,0.426,45.6
2025-04-09,Unit 1,4398.0,27.63,6.08,0.455,44.3
2025-04-09,Unit 2,4250.5,27.47,6.34,0.391,48.1
2025-04-09,Unit 3,4374.4,28.13,6.02,0.427,49.4
2025-04-10,Unit 1,4347.4,28.42,6.26,0.469,44.5
2025-04-10,Unit 2,4354.0,26.79,6.04,0.428,46.2
2025-04-10,Unit 3,4339.1,27.52,5.85,0.357,48.6
2025-04-11,Unit 1,4347.7,28.98,5.61,0.424,44.4
2025-04-11,Unit 2,4391.7,28.47,6.16,0.437,46.6
2025-04-11,Unit 3,4298.3,28.46,6.34,0.364,45.7
2025-04-12,Unit 1,4307.0,29.03,6.06,0.391,47.9
2025-04-12,Unit 2,4334.5,26.89,5.99,0.451,49.6
2025-04-12,Unit 3,4327.6,28.31,5.78,0.422,47.6
2025-04-13,Unit 1,4270.6,27.51,6.4,0.397,48.0
2025-04-13,Unit 2,4360.1,27.05,6.38,0.441,47.7
2025-04-13,Unit 3,4412.7,27.31,6.36,0.386,49.0
2025-04-14,Unit 1,4332.5,28.28,5.91,0.423,48.3
2025-04-14,Unit 2,4308.6,28.01,6.06,0.389,48.1
2025-04-14,Unit 3,4350.4,29.68,6.16,0.421,44.7
2025-04-15,Unit 1,4373.5,27.68,6.06,0.447,49.8
2025-04-15,Unit 2,4386.7,27.39,6.42,0.389,49.2
2025-04-15,Unit 3,4338.6,26.31,6.14,0.436,47.4
2025-04-16,Unit 1,4397.8,28.74,6.89,0.416,47.2
2025-04-16,Unit 2,4365.1,28.25,6.24,0.416,44.8
2025-04-16,Unit 3,4340.6,28.12,6.13,0.436,47.7
2025-04-17,Unit 1,4314.9,27.7,6.27,0.439,47.6
2025-04-17,Unit 2,4396.8,28.11,6.22,0.437,46.3
2025-04-17,Unit 3,4336.8,27.83,6.01,0.411,50.8
2025-04-18,Unit 1,4395.9,27.97,6.7,0.444,50.7
2025-04-18,Unit 2,4337.0,29.06,6.4,0.453,46.5
2025-04-18,Unit 3,4399.6,30.15,5.91,0.388,49.8
2025-04-19,Unit 1,4347.0,27.87,6.21,0.443,46.7
2025-04-19,Unit 2,4390.4,28.6,6.34,0.415,51.5
2025-04-19,Unit 3,4358.1,28.4,5.91,0.376,50.9
2025-04-20,Unit 1,4353.1,26.3,6.34,0.391,45.7
2025-04-20,Unit 2,4329.0,28.14,6.32,0.424,47.8
2025-04-20,Unit 3,4338.8,27.23,6.35,0.398,52.3
2025-04-21,Unit 1,4429.6,28.27,5.87,0.429,50.1
2025-04-21,Unit 2,4361.1,25.33,6.01,0.39,45.2
2025-04-21,Unit 3,4400.8,28.35,5.45,0.391,49.1
2025-04-22,Unit 1,4343.0,27.14,5.82,0.466,48.3
2025-04-22,Unit 2,4363.0,28.97,6.54,0.403,50.5
2025-04-22,Unit 3,4352.1,28.46,5.8,0.435,50.2
2025-04-23,Unit 1,4367.2,27.49,6.37,0.377,50.1
2025-04-23,Unit 2,4351.9,27.66,6.26,0.42,46.7
2025-04-23,Unit 3,4271.5,27.55,5.85,0.488,49.4
2025-04-24,Unit 1,4336.6,27.19,5.96,0.423,45.8
2025-04-24,Unit 2,4313.4,28.91,5.78,0.403,49.2
2025-04-24,Unit 3,4370.1,27.72,6.05,0.438,44.9
2025-04-25,Unit 1,4367.4,28.38,5.96,0.433,50.6
2025-04-25,Unit 2,4326.7,27.06,6.14,0.482,44.3
2025-04-25,Unit 3,4433.8,29.28,6.4,0.396,47.9
2025-04-26,Unit 1,4352.4,26.87,6.15,0.388,49.2
2025-04-26,Unit 2,4383.4,27.86,6.11,0.414,46.6
2025-04-26,Unit 3,4335.5,27.56,5.8,0.446,45.9
2025-04-27,Unit 1,4362.8,28.16,5.82,0.429,46.3
2025-04-27,Unit 2,4426.8,27.02,6.22,0.381,46.6
2025-04-27,Unit 3,4442.1,26.82,6.58,0.454,46.1
2025-04-28,Unit 1,4430.5,28.11,6.25,0.439,44.9
2025-04-28,Unit 2,4405.6,28.65,5.9,0.409,46.7
2025-04-28,Unit 3,4369.4,28.43,6.54,0.398,48.8
2025-04-29,Unit 1,4338.3,27.64,6.5,0.402,47.2
2025-04-29,Unit 2,4304.6,28.98,6.87,0.42,45.9
2025-04-29,Unit 3,4398.1,28.62,6.45,0.407,48.8
2025-04-30,Unit 1,4381.8,27.66,6.36,0.449,45.6
2025-04-30,Unit 2,4344.0,28.53,6.76,0.412,46.4
2025-04-30,Unit 3,4386.4,27.7,6.43,0.389,49.9
2025-05-01,Unit 1,4361.2,26.29,6.5,0.415,54.5
2025-05-01,Unit 2,4284.5,26.57,6.01,0.437,49.0
2025-05-01,Unit 3,4269.3,28.12,6.44,0.416,47.1
2025-05-02,Unit 1,4277.4,28.09,6.37,0.441,49.2
2025-05-02,Unit 2,4346.6,27.96,6.46,0.45,49.5
2025-05-02,Unit 3,4346.3,27.34,6.46,0.453,48.4
2025-05-03,Unit 1,4326.6,28.8,5.69,0.434,48.7
2025-05-03,Unit 2,4333.4,28.68,5.8,0.425,46.6
2025-05-03,Unit 3,4374.5,28.64,6.57,0.424,50.5
2025-05-04,Unit 1,4373.4,27.67,6.28,0.413,48.0
2025-05-04,Unit 2,4294.5,26.72,5.83,0.425,46.2
2025-05-04,Unit 3,4310.2,28.34,5.94,0.423,45.5
2025-05-05,Unit 1,4351.3,29.03,6.07,0.49,51.1
2025-05-05,Unit 2,4378.8,28.43,6.34,0.427,48.5
2025-05-05,Unit 3,4370.5,29.49,6.07,0.375,48.1
2025-05-06,Unit 1,4314.5,28.49,5.54,0.351,48.7
2025-05-06,Unit 2,4394.5,28.19,5.95,0.461,45.1
2025-05-06,Unit 3,4378.8,27.53,5.97,0.411,51.8
2025-05-07,Unit 1,4294.4,28.13,5.87,0.376,46.5
2025-05-07,Unit 2,4362.1,28.14,5.65,0.393,47.9
2025-05-07,Unit 3,4377.7,28.47,5.96,0.363,47.2
2025-05-08,Unit 1,4403.7,26.55,6.88,0.4,52.2
2025-05-08,Unit 2,4346.9,27.76,6.22,0.391,51.2
2025-05-08,Unit 3,4411.3,28.8,6.24,0.483,46.7
2025-05-09,Unit 1,4302.8,28.14,6.4,0.466,49.8
2025-05-09,Unit 2,4336.0,27.38,6.31,0.457,46.8
2025-05-09,Unit 3,4338.8,26.98,6.35,0.395,52.4
2025-05-10,Unit 1,4366.4,28.16,5.94,0.452,49.8
2025-05-10,Unit 2,4346.9,29.1,6.51,0.45,48.4
2025-05-10,Unit 3,4286.6,27.47,6.32,0.4,46.8
2025-05-11,Unit 1,4367.7,26.64,6.37,0.414,48.0
2025-05-11,Unit 2,4373.9,27.81,6.21,0.412,47.8
2025-05-11,Unit 3,4319.6,27.9,5.99,0.402,51.2
2025-05-12,Unit 1,4330.8,28.56,6.04,0.417,52.3
2025-05-12,Unit 2,4318.8,27.79,6.68,0.444,49.7
2025-05-12,Unit 3,4370.7,27.82,6.19,0.399,48.4
2025-05-13,Unit 1,4360.5,27.67,6.27,0.432,50.3
2025-05-13,Unit 2,4381.0,28.5,6.24,0.383,49.2
2025-05-13,Unit 3,4311.4,29.34,6.47,0.376,47.2
2025-05-14,Unit 1,4303.1,27.92,6.11,0.409,47.2
2025-05-14,Unit 2,4353.2,28.05,6.22,0.394,47.6
2025-05-14,Unit 3,4372.3,27.86,5.93,0.383,50.0
2025-05-15,Unit 1,4309.8,26.63,6.4,0.38,50.0
2025-05-15,Unit 2,4338.1,30.06,6.09,0.404,48.9
2025-05-15,Unit 3,4358.9,28.84,6.53,0.402,47.6
2025-05-16,Unit 1,4345.6,27.69,6.18,0.43,49.8
2025-05-16,Unit 2,4289.2,25.9,6.32,0.417,47.0
2025-05-16,Unit 3,4389.6,27.83,6.36,0.406,46.7
2025-05-17,Unit 1,4311.9,27.52,6.08,0.398,47.7
