Date,Opening Stock,Received,Consumed,Closing Stock
2025-03-07,-35422.96,0,2892.9,-38315.86
2025-03-08,-38315.86,0,2956.76,-41272.62
2025-03-09,-41272.62,0,2894.03,-44166.65
2025-03-10,-44166.65,0,3022.6,-47189.25
2025-03-11,-47189.25,0,2817.33,-50006.57
2025-03-12,-50006.57,0,2791.34,-52797.91
2025-03-13,-52797.91,0,2792.11,-55590.01
2025-03-14,-55590.01,0,2928.03,-58518.05
2025-03-15,-58518.05,0,2935.62,-61453.66
2025-03-16,-61453.66,0,3118.75,-64572.41
2025-03-17,-64572.41,0,3108.67,-67681.08
2025-03-18,-67681.08,0,2817.34,-70498.42
2025-03-19,-70498.42,0,2624.89,-73123.31
2025-03-20,-73123.31,0,3068.11,-76191.42
2025-03-21,-76191.42,0,3109.11,-79300.53
2025-03-22,-79300.53,14266,2959.76,-67994.29
2025-03-23,-67994.29,0,2861.72,-70856.01
2025-03-24,-70856.01,0,3087.28,-73943.3
2025-03-25,-73943.3,0,2944.27,-76887.57
2025-03-26,-76887.57,0,3075.54,-79963.11
2025-03-27,-79963.11,0,2805.12,-82768.23
2025-03-28,-82768.23,0,2798.26,-85566.49
2025-03-29,-85566.49,0,3002.13,-88568.62
2025-03-30,-88568.62,0,2783.69,-91352.31
2025-03-31,-91352.31,0,3002.57,-94354.89
2025-04-01,-94354.89,0,2719.68,-97074.56
2025-04-02,-97074.56,0,2890.37,-99964.93
2025-04-03,-99964.93,9666,2989.8,-93288.73
2025-04-04,-93288.73,0,2957.87,-96246.59
2025-04-05,-96246.59,0,2921.26,-99167.85
2025-04-06,-99167.85,11747,3000.25,-90421.1
2025-04-07,-90421.1,0,3086.08,-93507.18
2025-04-08,-93507.18,9260,2937.28,-87184.46
2025-04-09,-87184.46,0,2768.13,-89952.59
2025-04-10,-89952.59,0,2872.2,-92824.79
2025-04-11,-92824.79,0,2826.1,-95650.89
2025-04-12,-95650.89,0,3030.98,-98681.87
2025-04-13,-98681.87,0,3123.83,-101805.7
2025-04-14,-101805.7,14034,3135.14,-90906.84
2025-04-15,-90906.84,0,2953.46,-93860.29
2025-04-16,-93860.29,0,2983.24,-96843.53
2025-04-17,-96843.53,0,2806.16,-99649.69
2025-04-18,-99649.69,0,2566.09,-102215.78
2025-04-19,-102215.78,12875,2786.6,-92127.38
2025-04-20,-92127.38,0,2678.51,-94805.89
2025-04-21,-94805.89,0,2567.0,-97372.89
2025-04-22,-97372.89,0,2758.49,-100131.38
2025-04-23,-100131.38,9353,2751.59,-93529.97
2025-04-24,-93529.97,0,2911.39,-96441.36
2025-04-25,-96441.36,0,2912.59,-99353.95
2025-04-26,-99353.95,12744,2776.03,-89385.98
2025-04-27,-89385.98,0,3116.89,-92502.87
2025-04-28,-92502.87,0,2736.47,-95239.34
2025-04-29,-95239.34,0,2975.48,-98214.83
2025-04-30,-98214.83,0,3144.36,-101359.18
2025-05-01,-101359.18,0,3018.61,-104377.79
2025-05-02,-104377.79,0,2937.38,-107315.18
2025-05-03,-107315.18,0,2938.51,-110253.69
2025-05-04,-110253.69,9910,2931.04,-103274.72
2025-05-05,-103274.72,0,3173.75,-106448.48
2025-05-06,-106448.48,0,2958.85,-109407.33
2025-05-07,-109407.33,0,2875.42,-112282.75
2025-05-08,-112282.75,0,2900.42,-115183.17
2025-05-09,-115183.17,0,3182.31,-118365.48
2025-05-10,-118365.48,0,3003.79,-121369.27
2025-05-11,-121369.27,0,2883.53,-124252.81
2025-05-12,-124252.81,10838,2800.86,-116215.67
2025-05-13,-116215.67,0,2912.56,-119128.23
2025-05-14,-119128.23,0,2972.45,-122100.68
2025-05-15,-122100.68,0,2822.5,-124923.19
2025-05-16,-124923.19,0,3089.91,-128013.1
2025-05-17,-128013.1,0,3020.26,-131033.36
2025-05-18,-131033.36,0,2992.06,-134025.42
2025-05-19,-134025.42,0,3109.74,-137135.15
2025-05-20,-137135.15,0,3153.17,-140288.32
2025-05-21,-140288.32,0,2917.64,-143205.96
2025-05-22,-143205.96,0,2885.42,-146091.38
2025-05-23,-146091.38,0,3019.45,-149110.83
2025-05-24,-149110.83,0,3120.6,-152231.43
2025-05-25,-152231.43,0,2837.48,-155068.92
2025-05-26,-155068.92,0,3202.28,-158271.19
2025-05-27,-158271.19,0,3106.79,-161377.98
2025-05-28,-161377.98,0,2736.91,-164114.9
2025-05-29,-164114.9,0,2878.3,-166993.2
2025-05-30,-166993.2,0,2941.55,-169934.75
2025-05-31,-169934.75,0,2817.5,-172752.26
2025-06-01,-172752.26,8701,2981.1,-167032.35
2025-06-02,-167032.35,0,2947.87,-169980.22
2025-06-03,-169980.22,0,3038.7,-173018.92
2025-06-04,-173018.92,13466,2779.04,-162331.95
2025-06-05,-162331.95,0,2731.9,-165063.86
2025-06-06,-165063.86,13559,2436.8,-153941.66
2025-06-07,-153941.66,0,2794.54,-156736.2
2025-06-08,-156736.2,0,2939.44,-159675.64
2025-06-09,-159675.64,0,2887.07,-162562.72
2025-06-10,-162562.72,0,3069.46,-165632.17
2025-06-11,-165632.17,0,2987.41,-168619.59
2025-06-12,-168619.59,0,2793.21,-171412.8
2025-06-13,-171412.8,0,2821.53,-174234.32
2025-06-14,-174234.32,13222,2778.18,-163790.5
2025-06-15,-163790.5,0,2891.1,-166681.6
2025-06-16,-166681.6,0,2735.16,-169416.76
2025-06-17,-169416.76,0,2745.28,-172162.04
2025-06-18,-172162.04,0,2871.71,-175033.76
2025-06-19,-175033.76,10371,2917.68,-167580.44
2025-06-20,-167580.44,0,2674.56,-170255.0
2025-06-21,-170255.0,0,2967.16,-173222.16
2025-06-22,-173222.16,0,2864.47,-176086.63
2025-06-23,-176086.63,9834,2966.04,-169218.67
2025-06-24,-169218.67,0,2973.77,-172192.44
2025-06-25,-172192.44,0,3099.51,-175291.95
2025-06-26,-175291.95,11867,2981.01,-166405.96
2025-06-27,-166405.96,0,2836.7,-169242.67
2025-06-28,-169242.67,0,2913.49,-172156.16
2025-06-29,-172156.16,0,3005.92,-175162.08
2025-06-30,-175162.08,0,2620.6,-177782.68
2025-07-01,-177782.68,0,2976.88,-180759.56
2025-07-02,-180759.56,0,2850.8,-183610.36
2025-07-03,-183610.36,0,2979.01,-186589.37
2025-07-04,-186589.37,0,3076.61,-189665.98
2025-07-05,-189665.98,0,3147.42,-192813.41
2025-07-06,-192813.41,0,3012.74,-195826.15
2025-07-07,-195826.15,0,2842.24,-198668.39
2025-07-08,-198668.39,0,2650.29,-201318.69
2025-07-09,-201318.69,12207,3123.5,-192235.19
2025-07-10,-192235.19,0,3136.25,-195371.44
2025-07-11,-195371.44,0,2783.32,-198154.76
2025-07-12,-198154.76,0,2798.96,-200953.72
2025-07-13,-200953.72,0,2938.19,-203891.91
2025-07-14,-203891.91,0,2981.6,-206873.51
2025-07-15,-206873.51,13156,3028.87,-196746.38
2025-07-16,-196746.38,0,2899.15,-199645.53
2025-07-17,-199645.53,0,2900.95,-202546.48
2025-07-18,-202546.48,0,2696.13,-205242.61
2025-07-19,-205242.61,0,3059.22,-208301.82
2025-07-20,-208301.82,11512,2820.22,-199610.04
2025-07-21,-199610.04,0,3145.12,-202755.16
2025-07-22,-202755.16,13674,2984.98,-192066.15
2025-07-23,-192066.15,0,3081.49,-195147.64
2025-07-24,-195147.64,0,2856.4,-198004.04
2025-07-25,-198004.04,0,2896.61,-200900.65
2025-07-26,-200900.65,0,2900.89,-203801.54
2025-07-27,-203801.54,0,2723.93,-206525.47
2025-07-28,-206525.47,0,3190.33,-209715.8
2025-07-29,-209715.8,0,3084.19,-212799.99
2025-07-30,-212799.99,0,2733.01,-215533.0
2025-07-31,-215533.0,0,2979.22,-218512.22
2025-08-01,-218512.22,0,2749.3,-221261.52
2025-08-02,-221261.52,0,3028.21,-224289.73
2025-08-03,-224289.73,0,3051.82,-227341.55
2025-08-04,-227341.55,0,2833.33,-230174.88
2025-08-05,-230174.88,9914,3033.72,-223294.6
2025-08-06,-223294.6,10292,3044.66,-216047.25
2025-08-07,-216047.25,0,3067.44,-219114.69
2025-08-08,-219114.69,13351,2820.87,-208584.56
2025-08-09,-208584.56,0,2834.63,-211419.19
2025-08-10,-211419.19,0,2962.1,-214381.29
2025-08-11,-214381.29,0,2668.91,-217050.2
2025-08-12,-217050.2,0,2911.93,-219962.13
2025-08-13,-219962.13,0,2974.15,-222936.28
2025-08-14,-222936.28,0,2900.43,-225836.7
2025-08-15,-225836.7,0,2914.02,-228750.73
2025-08-16,-228750.73,0,2881.32,-231632.05
2025-08-17,-231632.05,0,3034.86,-234666.91
2025-08-18,-234666.91,0,2915.71,-237582.62
2025-08-19,-237582.62,9642,2740.56,-230681.19
2025-08-20,-230681.19,0,2982.0,-233663.19
2025-08-21,-233663.19,0,2659.83,-236323.02
2025-08-22,-236323.02,0,2912.87,-239235.89
2025-08-23,-239235.89,0,3026.37,-242262.25
2025-08-24,-242262.25,0,2917.87,-245180.12
2025-08-25,-245180.12,0,2959.99,-248140.11
2025-08-26,-248140.11,14981,3048.86,-236207.97
2025-08-27,-236207.97,11283,2739.91,-227664.88
2025-08-28,-227664.88,8303,2989.08,-222350.96
2025-08-29,-222350.96,0,3150.71,-225501.67
2025-08-30,-225501.67,0,2792.04,-228293.71
2025-08-31,-228293.71,0,2940.67,-231234.38
2025-09-01,-231234.38,0,2926.6,-234160.98
2025-09-02,-234160.98,0,3019.48,-237180.46
2025-09-03,-237180.46,9070,2982.78,-231093.24
2025-09-04,-231093.24,0,2911.25,-234004.49
2025-09-05,-234004.49,12268,2827.08,-224563.57
2025-09-06,-224563.57,0,2939.0,-227502.57
2025-09-07,-227502.57,0,2782.17,-230284.74
2025-09-08,-230284.74,0,3043.75,-233328.49
2025-09-09,-233328.49,0,2688.35,-236016.84
2025-09-10,-236016.84,0,2952.45,-238969.29
2025-09-11,-238969.29,0,2997.33,-241966.62
2025-09-12,-241966.62,0,2908.54,-244875.16
2025-09-13,-244875.16,0,2588.11,-247463.26
2025-09-14,-247463.26,0,3114.69,-250577.95
2025-09-15,-250577.95,11191,2688.38,-242075.33
2025-09-16,-242075.33,0,3044.39,-245119.72
2025-09-17,-245119.72,0,2986.98,-248106.7
2025-09-18,-248106.7,0,2951.89,-251058.6
2025-09-19,-251058.6,0,2760.64,-253819.24
2025-09-20,-253819.24,0,3207.81,-257027.04
2025-09-21,-257027.04,0,3050.5,-260077.54
2025-09-22,-260077.54,9309,2957.32,-253725.86
2025-09-23,-253725.86,0,3127.81,-256853.67
2025-09-24,-256853.67,0,3059.4,-259913.07
2025-09-25,-259913.07,14693,3076.23,-248296.3
2025-09-26,-248296.3,0,2756.01,-251052.31
2025-09-27,-251052.31,0,2757.43,-253809.74
2025-09-28,-253809.74,0,2992.32,-256802.06
2025-09-29,-256802.06,10427,2793.92,-249168.98
2025-09-30,-249168.98,0,3112.03,-252281.01
2025-10-01,-252281.01,0,2690.98,-254971.99
2025-10-02,-254971.99,0,3067.77,-258039.77
2025-10-03,-258039.77,0,3128.94,-261168.7
2025-10-04,-261168.7,0,2658.51,-263827.21
2025-10-05,-263827.21,0,2859.03,-266686.24
2025-10-06,-266686.24,0,2706.25,-269392.49
2025-10-07,-269392.49,0,3061.91,-272454.4
2025-10-08,-272454.4,0,2898.69,-275353.09
2025-10-09,-275353.09,0,2762.55,-278115.64
2025-10-10,-278115.64,0,2977.05,-281092.68
2025-10-11,-281092.68,0,3014.2,-284106.89
2025-10-12,-284106.89,0,2851.79,-286958.68
2025-10-13,-286958.68,12521,2971.72,-277409.39
2025-10-14,-277409.39,0,2818.97,-280228.37
2025-10-15,-280228.37,0,3020.08,-283248.45
2025-10-16,-283248.45,8213,2779.54,-277814.99
2025-10-17,-277814.99,0,3032.8,-280847.79
2025-10-18,-280847.79,0,2944.79,-283792.58
2025-10-19,-283792.58,0,2873.82,-286666.41
2025-10-20,-286666.41,0,2973.77,-289640.18
2025-10-21,-289640.18,0,2834.12,-292474.3
2025-10-22,-292474.3,0,2765.83,-295240.13
2025-10-23,-295240.13,0,3102.55,-298342.68
2025-10-24,-298342.68,0,2983.85,-301326.53
2025-10-25,-301326.53,0,3035.54,-304362.08
2025-10-26,-304362.08,0,2750.17,-307112.24
2025-10-27,-307112.24,13901,2611.04,-295822.28
2025-10-28,-295822.28,0,2695.0,-298517.28
2025-10-29,-298517.28,9971,2880.67,-291426.95
2025-10-30,-291426.95,0,3115.49,-294542.44
2025-10-31,-294542.44,0,2804.53,-297346.97
2025-11-01,-297346.97,0,2818.96,-300165.94
2025-11-02,-300165.94,0,2919.06,-303084.99
2025-11-03,-303084.99,0,2864.68,-305949.67
2025-11-04,-305949.67,0,2904.72,-308854.39
2025-11-05,-308854.39,0,2679.42,-311533.81
2025-11-06,-311533.81,0,2945.81,-314479.62
2025-11-07,-314479.62,0,2919.22,-317398.84
2025-11-08,-317398.84,0,2927.47,-320326.31
2025-11-09,-320326.31,0,2838.25,-323164.56
2025-11-10,-323164.56,9671,2620.66,-316114.22
2025-11-11,-316114.22,0,2954.55,-319068.78
2025-11-12,-319068.78,0,3212.31,-322281.08
2025-11-13,-322281.08,12735,2934.12,-312480.21
2025-11-14,-312480.21,8772,2554.62,-306262.82
2025-11-15,-306262.82,0,2791.03,-309053.86
2025-11-16,-309053.86,0,2915.03,-311968.88
2025-11-17,-311968.88,0,2919.6,-314888.49
2025-11-18,-314888.49,8956,2860.46,-308792.95
2025-11-19,-308792.95,0,3138.28,-311931.23
2025-11-20,-311931.23,0,2873.26,-314804.48
2025-11-21,-314804.48,0,3009.27,-317813.75
2025-11-22,-317813.75,0,2936.46,-320750.21
2025-11-23,-320750.21,0,3110.96,-323861.17
2025-11-24,-323861.17,8535,3029.61,-318355.78
2025-11-25,-318355.78,0,2908.49,-321264.27
2025-11-26,-321264.27,0,2836.32,-324100.59
2025-11-27,-324100.59,9532,3122.61,-317691.2
2025-11-28,-317691.2,0,2639.74,-320330.94
2025-11-29,-320330.94,0,3166.91,-323497.84
2025-11-30,-323497.84,0,2998.63,-326496.47
2025-12-01,-326496.47,11091,3046.27,-318451.74
2025-12-02,-318451.74,0,2753.87,-321205.61
2025-12-03,-321205.61,0,2797.83,-324003.44
2025-12-04,-324003.44,0,2883.28,-326886.71
2025-12-05,-326886.71,0,3032.07,-329918.79
2025-12-06,-329918.79,0,3025.7,-332944.49
2025-12-07,-332944.49,0,2915.64,-335860.13
2025-12-08,-335860.13,10414,3087.18,-328533.31
2025-12-09,-328533.31,0,3063.79,-331597.1
2025-12-10,-331597.1,0,2954.74,-334551.84
2025-12-11,-334551.84,0,2958.13,-337509.97
2025-12-12,-337509.97,0,2849.71,-340359.68
2025-12-13,-340359.68,0,2899.62,-343259.3
2025-12-14,-343259.3,0,3044.85,-346304.15
2025-12-15,-346304.15,0,3090.4,-349394.55
2025-12-16,-349394.55,11819,2998.62,-340574.16
2025-12-17,-340574.16,0,2637.22,-343211.38
2025-12-18,-343211.38,0,2976.11,-346187.49
2025-12-19,-346187.49,0,2905.41,-349092.9
2025-12-20,-349092.9,0,2993.43,-352086.33
2025-12-21,-352086.33,8651,2868.29,-346303.62
2025-12-22,-346303.62,0,2858.41,-349162.03
2025-12-23,-349162.03,0,2987.69,-352149.72
2025-12-24,-352149.72,0,2870.54,-355020.26
2025-12-25,-355020.26,0,2895.36,-357915.62
2025-12-26,-357915.62,0,2974.34,-360889.96
2025-12-27,-360889.96,0,2800.16,-363690.11
2025-12-28,-363690.11,0,3080.65,-366770.76
2025-12-29,-366770.76,0,2956.46,-369727.22
2025-12-30,-369727.22,0,3076.46,-372803.68
2025-12-31,-372803.68,0,3096.8,-375900.48
