Date,Unit,Average Load (MW),Power Generation (MWh)
2025-02-13,Unit 3,85.26,2036.03
2025-02-14,Unit 1,93.35,2238.26
2025-02-14,Unit 2,97.48,2329.69
2025-02-14,Unit 3,95.86,2275.84
2025-02-15,Unit 1,100.0,2387.89
2025-02-15,Unit 2,100.0,2402.73
2025-02-15,Unit 3,99.49,2402.03
2025-02-16,Unit 1,89.78,2166.27
2025-02-16,Unit 2,81.41,1961.15
2025-02-16,Unit 3,89.63,2192.05
2025-02-17,Unit 1,88.82,2124.49
2025-02-17,Unit 2,82.21,1937.59
2025-02-17,Unit 3,100.0,2404.94
2025-02-18,Unit 1,82.1,2000.22
2025-02-18,Unit 2,89.15,2164.08
2025-02-18,Unit 3,86.67,2056.48
2025-02-19,Unit 1,100.0,2431.25
2025-02-19,Unit 2,82.98,2007.14
2025-02-19,Unit 3,79.38,1904.76
2025-02-20,Unit 1,85.33,2021.97
2025-02-20,Unit 2,86.29,2063.93
2025-02-20,Unit 3,99.28,2377.98
2025-02-21,Unit 1,92.81,2261.25
2025-02-21,Unit 2,85.54,2031.72
2025-02-21,Unit 3,91.91,2234.53
2025-02-22,Unit 1,83.26,2018.28
2025-02-22,Unit 2,100.0,2405.49
2025-02-22,Unit 3,82.9,1991.85
2025-02-23,Unit 1,75.35,1812.51
2025-02-23,Unit 2,97.86,2361.78
2025-02-23,Unit 3,88.4,2098.43
2025-02-24,Unit 1,82.62,2006.35
2025-02-24,Unit 2,92.29,2206.33
2025-02-24,Unit 3,91.95,2197.6
2025-02-25,Unit 1,93.23,2237.03
2025-02-25,Unit 2,94.69,2263.15
2025-02-25,Unit 3,92.81,2237.1
2025-02-26,Unit 1,82.39,1971.17
2025-02-26,Unit 2,98.03,2393.75
2025-02-26,Unit 3,90.69,2164.88
2025-02-27,Unit 1,85.54,2019.0
2025-02-27,Unit 2,85.89,2062.0
2025-02-27,Unit 3,89.38,2157.8
2025-02-28,Unit 1,100.0,2402.14
2025-02-28,Unit 2,82.85,1974.9
2025-02-28,Unit 3,83.77,2006.52
2025-03-01,Unit 1,100.0,2385.81
2025-03-01,Unit 2,96.55,2293.08
2025-03-01,Unit 3,85.79,2089.07
2025-03-02,Unit 1,80.85,1942.58
2025-03-02,Unit 2,100.0,2382.68
2025-03-02,Unit 3,100.0,2395.0
2025-03-03,Unit 1,94.61,2222.92
2025-03-03,Unit 2,83.08,1997.99
2025-03-03,Unit 3,89.09,2134.91
2025-03-04,Unit 1,89.25,2146.64
2025-03-04,Unit 2,100.0,2405.01
2025-03-04,Unit 3,97.69,2308.1
2025-03-05,Unit 1,84.45,2035.88
2025-03-05,Unit 2,87.11,2129.92
2025-03-05,Unit 3,75.48,1850.27
2025-03-06,Unit 1,89.15,2167.33
2025-03-06,Unit 2,98.68,2378.03
2025-03-06,Unit 3,85.05,2047.37
2025-03-07,Unit 1,90.24,2177.97
2025-03-07,Unit 2,82.02,1953.11
2025-03-07,Unit 3,90.63,2175.61
2025-03-08,Unit 1,93.4,2286.03
2025-03-08,Unit 2,81.02,1937.89
2025-03-08,Unit 3,91.52,2214.46
2025-03-09,Unit 1,84.01,2022.99
2025-03-09,Unit 2,93.06,2217.31
2025-03-09,Unit 3,87.71,2111.56
2025-03-10,Unit 1,89.21,2132.42
2025-03-10,Unit 2,92.39,2204.59
2025-03-10,Unit 3,94.94,2285.82
2025-03-11,Unit 1,87.17,2080.55
2025-03-11,Unit 2,88.21,2146.94
2025-03-11,Unit 3,79.92,1905.72
2025-03-12,Unit 1,98.98,2385.94
2025-03-12,Unit 2,77.43,1858.06
2025-03-12,Unit 3,79.54,1912.78
2025-03-13,Unit 1,77.22,1862.4
2025-03-13,Unit 2,100.0,2396.18
2025-03-13,Unit 3,80.0,1932.01
2025-03-14,Unit 1,100.0,2370.73
2025-03-14,Unit 2,83.57,2020.56
2025-03-14,Unit 3,88.26,2095.94
2025-03-15,Unit 1,78.75,1871.47
2025-03-15,Unit 2,92.95,2227.16
2025-03-15,Unit 3,97.96,2347.79
2025-03-16,Unit 1,96.27,2305.38
2025-03-16,Unit 2,93.35,2268.36
2025-03-16,Unit 3,94.85,2272.83
2025-03-17,Unit 1,87.05,2080.11
2025-03-17,Unit 2,100.0,2332.26
2025-03-17,Unit 3,100.0,2400.2
2025-03-18,Unit 1,78.09,1894.38
2025-03-18,Unit 2,80.18,1915.75
2025-03-18,Unit 3,99.9,2374.4
2025-03-19,Unit 1,82.29,1955.82
2025-03-19,Unit 2,75.23,1786.94
2025-03-19,Unit 3,84.23,2024.96
2025-03-20,Unit 1,96.85,2359.71
2025-03-20,Unit 2,85.97,2060.51
2025-03-20,Unit 3,89.8,2197.31
2025-03-21,Unit 1,96.46,2295.58
2025-03-21,Unit 2,93.26,2247.36
2025-03-21,Unit 3,91.23,2204.87
2025-03-22,Unit 1,85.15,2078.06
2025-03-22,Unit 2,89.89,2143.55
2025-03-22,Unit 3,94.56,2288.92
2025-03-23,Unit 1,90.89,2183.77
2025-03-23,Unit 2,86.2,2089.52
2025-03-23,Unit 3,83.86,2042.29
2025-03-24,Unit 1,100.0,2388.39
2025-03-24,Unit 2,99.59,2374.38
2025-03-24,Unit 3,85.06,2020.13
2025-03-25,Unit 1,96.87,2320.13
2025-03-25,Unit 2,92.25,2249.05
2025-03-25,Unit 3,83.6,2005.12
2025-03-26,Unit 1,92.34,2216.35
2025-03-26,Unit 2,88.96,2127.05
2025-03-26,Unit 3,100.0,2355.81
2025-03-27,Unit 1,86.09,2052.44
2025-03-27,Unit 2,83.56,2035.54
2025-03-27,Unit 3,81.68,1965.07
2025-03-28,Unit 1,80.6,1916.38
2025-03-28,Unit 2,84.43,2037.86
2025-03-28,Unit 3,95.43,2284.35
2025-03-29,Unit 1,89.89,2153.66
2025-03-29,Unit 2,91.92,2215.68
2025-03-29,Unit 3,91.55,2185.11
2025-03-30,Unit 1,78.23,1880.43
2025-03-30,Unit 2,94.47,2263.98
2025-03-30,Unit 3,80.35,1935.92
2025-03-31,Unit 1,90.35,2179.52
2025-03-31,Unit 2,86.27,2067.55
2025-03-31,Unit 3,97.16,2319.28
2025-04-01,Unit 1,80.45,1924.78
2025-04-01,Unit 2,78.68,1862.33
2025-04-01,Unit 3,92.5,2219.35
2025-04-02,Unit 1,86.69,2096.61
2025-04-02,Unit 2,86.6,2099.22
2025-04-02,Unit 3,87.19,2146.26
2025-04-03,Unit 1,93.54,2236.25
2025-04-03,Unit 2,90.93,2165.41
2025-04-03,Unit 3,92.37,2224.37
2025-04-04,Unit 1,91.14,2198.78
2025-04-04,Unit 2,88.27,2155.5
2025-04-04,Unit 3,92.44,2200.39
2025-04-05,Unit 1,77.86,1883.71
2025-04-05,Unit 2,95.48,2328.59
2025-04-05,Unit 3,90.73,2182.66
2025-04-06,Unit 1,97.93,2371.09
2025-04-06,Unit 2,81.24,1955.65
2025-04-06,Unit 3,96.92,2329.45
2025-04-07,Unit 1,100.0,2391.28
2025-04-07,Unit 2,96.21,2336.39
2025-04-07,Unit 3,84.07,2050.87
2025-04-08,Unit 1,78.6,1895.34
2025-04-08,Unit 2,93.14,2267.19
2025-04-08,Unit 3,95.16,2289.86
2025-04-09,Unit 1,86.39,2084.41
2025-04-09,Unit 2,85.92,2062.81
2025-04-09,Unit 3,82.3,1971.02
2025-04-10,Unit 1,97.3,2332.37
2025-04-10,Unit 2,86.34,2073.34
2025-04-10,Unit 3,80.8,1919.59
2025-04-11,Unit 1,88.51,2130.52
2025-04-11,Unit 2,83.09,2019.72
2025-04-11,Unit 3,84.16,2027.14
2025-04-12,Unit 1,95.23,2302.93
2025-04-12,Unit 2,82.21,1953.87
2025-04-12,Unit 3,100.0,2426.01
2025-04-13,Unit 1,95.09,2271.07
2025-04-13,Unit 2,95.39,2241.84
2025-04-13,Unit 3,100.0,2382.7
2025-04-14,Unit 1,96.9,2332.4
2025-04-14,Unit 2,89.56,2140.13
2025-04-14,Unit 3,100.0,2380.93
2025-04-15,Unit 1,95.31,2272.9
2025-04-15,Unit 2,76.24,1866.23
2025-04-15,Unit 3,98.58,2372.5
2025-04-16,Unit 1,100.0,2398.09
2025-04-16,Unit 2,95.73,2255.49
2025-04-16,Unit 3,77.69,1874.7
2025-04-17,Unit 1,95.32,2326.58
2025-04-17,Unit 2,82.67,2011.18
2025-04-17,Unit 3,77.51,1890.26
2025-04-18,Unit 1,74.1,1773.28
2025-04-18,Unit 2,77.38,1866.5
2025-04-18,Unit 3,84.09,2003.61
2025-04-19,Unit 1,83.99,2014.97
2025-04-19,Unit 2,81.17,1950.81
2025-04-19,Unit 3,90.77,2185.44
2025-04-20,Unit 1,85.25,2042.68
2025-04-20,Unit 2,84.33,2062.93
2025-04-20,Unit 3,76.54,1816.45
2025-04-21,Unit 1,83.16,1975.17
2025-04-21,Unit 2,74.07,1782.88
2025-04-21,Unit 3,82.14,1938.86
2025-04-22,Unit 1,85.28,2063.62
2025-04-22,Unit 2,87.65,2074.68
2025-04-22,Unit 3,77.83,1902.79
2025-04-23,Unit 1,72.59,1756.93
2025-04-23,Unit 2,88.15,2115.31
2025-04-23,Unit 3,90.46,2189.45
2025-04-24,Unit 1,92.55,2223.9
2025-04-24,Unit 2,90.88,2191.34
2025-04-24,Unit 3,82.82,1961.44
2025-04-25,Unit 1,100.0,2365.05
2025-04-25,Unit 2,82.27,2007.18
2025-04-25,Unit 3,89.17,2115.36
2025-04-26,Unit 1,85.64,2085.8
2025-04-26,Unit 2,85.56,2033.9
2025-04-26,Unit 3,82.89,2016.81
2025-04-27,Unit 1,87.62,2129.12
2025-04-27,Unit 2,100.0,2426.63
2025-04-27,Unit 3,98.55,2377.21
2025-04-28,Unit 1,75.49,1790.69
2025-04-28,Unit 2,89.4,2155.32
2025-04-28,Unit 3,90.09,2157.56
2025-04-29,Unit 1,89.82,2141.01
2025-04-29,Unit 2,92.65,2226.48
2025-04-29,Unit 3,88.97,2142.06
2025-04-30,Unit 1,100.0,2426.63
2025-04-30,Unit 2,100.0,2397.74
2025-04-30,Unit 3,85.89,2057.13
2025-05-01,Unit 1,78.51,1857.99
2025-05-01,Unit 2,97.96,2385.22
2025-05-01,Unit 3,96.86,2308.17
2025-05-02,Unit 1,91.03,2165.85
2025-05-02,Unit 2,81.72,1983.3
2025-05-02,Unit 3,96.3,2282.77
2025-05-03,Unit 1,85.62,2055.59
2025-05-03,Unit 2,92.04,2174.71
2025-05-03,Unit 3,93.09,2233.12
2025-05-04,Unit 1,91.45,2220.83
2025-05-04,Unit 2,82.05,1948.96
2025-05-04,Unit 3,95.24,2301.97
2025-05-05,Unit 1,90.27,2204.14
2025-05-05,Unit 2,100.0,2350.36
2025-05-05,Unit 3,99.12,2387.12
2025-05-06,Unit 1,100.0,2403.23
2025-05-06,Unit 2,84.23,2018.53
2025-05-06,Unit 3,87.45,2120.47
2025-05-07,Unit 1,91.12,2206.78
2025-05-07,Unit 2,77.74,1861.8
2025-05-07,Unit 3,91.14,2204.46
2025-05-08,Unit 1,87.13,2123.68
2025-05-08,Unit 2,86.79,2133.54
2025-05-08,Unit 3,90.34,2179.12
2025-05-09,Unit 1,97.68,2353.63
2025-05-09,Unit 2,100.0,2373.25
2025-05-09,Unit 3,94.3,2271.79
2025-05-10,Unit 1,95.45,2300.83
2025-05-10,Unit 2,91.03,2181.27
2025-05-10,Unit 3,88.77,2089.33
2025-05-11,Unit 1,83.92,2052.67
2025-05-11,Unit 2,89.76,2143.37
2025-05-11,Unit 3,89.2,2108.89
2025-05-12,Unit 1,89.37,2133.24
2025-05-12,Unit 2,84.57,2023.34
2025-05-12,Unit 3,83.52,2023.73
2025-05-13,Unit 1,90.67,2145.57
2025-05-13,Unit 2,87.81,2105.54
2025-05-13,Unit 3,89.33,2168.27
2025-05-14,Unit 1,89.26,2137.23
2025-05-14,Unit 2,89.53,2138.62
2025-05-14,Unit 3,91.34,2200.42
2025-05-15,Unit 1,78.54,1873.8
2025-05-15,Unit 2,79.71,1930.6
2025-05-15,Unit 3,100.0,2376.73
2025-05-16,Unit 1,98.56,2390.95
2025-05-16,Unit 2,93.05,2239.44
2025-05-16,Unit 3,90.69,2161.59
2025-05-17,Unit 1,99.17,2378.11
2025-05-17,Unit 2,93.68,2244.78
2025-05-17,Unit 3,79.53,1947.4
2025-05-18,Unit 1,97.78,2349.13
2025-05-18,Unit 2,81.63,1916.11
2025-05-18,Unit 3,94.71,2276.48
2025-05-19,Unit 1,92.6,2186.22
2025-05-19,Unit 2,92.21,2213.27
2025-05-19,Unit 3,100.0,2398.44
2025-05-20,Unit 1,97.78,2372.71
2025-05-20,Unit 2,100.0,2412.2
2025-05-20,Unit 3,87.3,2088.16
2025-05-21,Unit 1,79.43,1863.91
2025-05-21,Unit 2,91.16,2174.7
2025-05-21,Unit 3,96.52,2360.08
2025-05-22,Unit 1,88.2,2137.34
2025-05-22,Unit 2,85.54,2039.87
2025-05-22,Unit 3,91.29,2172.44
2025-05-23,Unit 1,92.59,2267.82
2025-05-23,Unit 2,85.18,2050.59
2025-05-23,Unit 3,100.0,2350.15
2025-05-24,Unit 1,87.75,2102.09
2025-05-24,Unit 2,96.17,2334.17
2025-05-24,Unit 3,100.0,2405.37
2025-05-25,Unit 1,100.0,2426.42
2025-05-25,Unit 2,89.17,2127.28
2025-05-25,Unit 3,72.47,1732.61
2025-05-26,Unit 1,93.43,2228.06
2025-05-26,Unit 2,100.0,2387.9
2025-05-26,Unit 3,100.0,2416.48
2025-05-27,Unit 1,100.0,2405.77
2025-05-27,Unit 2,85.36,2025.51
2025-05-27,Unit 3,96.77,2332.68
2025-05-28,Unit 1,89.82,2142.91
2025-05-28,Unit 2,76.68,1834.43
2025-05-28,Unit 3,83.81,2010.23
2025-05-29,Unit 1,86.1,2087.85
2025-05-29,Unit 2,91.34,2211.16
2025-05-29,Unit 3,81.68,1999.19
2025-05-30,Unit 1,86.42,2053.88
2025-05-30,Unit 2,100.0,2383.3
2025-05-30,Unit 3,84.8,2047.51
2025-05-31,Unit 1,84.53,2044.02
2025-05-31,Unit 2,97.72,2352.42
2025-05-31,Unit 3,73.88,1759.98
2025-06-01,Unit 1,78.66,1890.15
2025-06-01,Unit 2,100.0,2412.3
2025-06-01,Unit 3,95.65,2287.62
2025-06-02,Unit 1,100.0,2411.13
2025-06-02,Unit 2,87.41,2074.72
2025-06-02,Unit 3,79.94,1933.09
2025-06-03,Unit 1,83.63,1988.14
2025-06-03,Unit 2,94.08,2283.4
2025-06-03,Unit 3,100.0,2390.32
2025-06-04,Unit 1,91.01,2160.72
2025-06-04,Unit 2,83.68,2008.3
2025-06-04,Unit 3,81.33,1959.01
2025-06-05,Unit 1,91.11,2164.9
2025-06-05,Unit 2,78.02,1898.15
2025-06-05,Unit 3,80.54,1927.8
2025-06-06,Unit 1,81.24,1886.17
2025-06-06,Unit 2,73.28,1755.26
2025-06-06,Unit 3,73.6,1781.11
2025-06-07,Unit 1,80.6,1949.15
2025-06-07,Unit 2,82.26,1985.39
2025-06-07,Unit 3,91.76,2182.41
2025-06-08,Unit 1,87.92,2092.7
2025-06-08,Unit 2,88.4,2126.57
2025-06-08,Unit 3,94.15,2240.11
2025-06-09,Unit 1,94.39,2271.9
2025-06-09,Unit 2,81.61,1950.52
2025-06-09,Unit 3,84.27,2017.68
2025-06-10,Unit 1,91.82,2216.4
2025-06-10,Unit 2,95.37,2300.89
2025-06-10,Unit 3,92.14,2194.96
2025-06-11,Unit 1,97.12,2338.3
2025-06-11,Unit 2,89.4,2128.45
2025-06-11,Unit 3,87.06,2083.97
2025-06-12,Unit 1,85.42,2089.99
2025-06-12,Unit 2,81.95,1924.78
2025-06-12,Unit 3,90.38,2165.67
2025-06-13,Unit 1,92.29,2212.12
2025-06-13,Unit 2,89.08,2149.29
2025-06-13,Unit 3,75.63,1808.63
2025-06-14,Unit 1,85.56,2053.79
2025-06-14,Unit 2,77.25,1849.75
2025-06-14,Unit 3,94.07,2253.86
2025-06-15,Unit 1,95.94,2292.08
2025-06-15,Unit 2,96.51,2313.97
2025-06-15,Unit 3,76.63,1824.63
2025-06-16,Unit 1,84.77,2051.38
2025-06-16,Unit 2,82.82,2004.77
2025-06-16,Unit 3,82.11,1987.6
2025-06-17,Unit 1,82.58,1997.05
2025-06-17,Unit 2,87.86,2079.02
2025-06-17,Unit 3,78.49,1910.38
2025-06-18,Unit 1,84.12,1985.78
2025-06-18,Unit 2,87.3,2098.04
2025-06-18,Unit 3,95.06,2268.91
2025-06-19,Unit 1,94.14,2248.89
2025-06-19,Unit 2,89.26,2142.66
2025-06-19,Unit 3,86.68,2060.49
2025-06-20,Unit 1,95.33,2284.14
2025-06-20,Unit 2,81.39,1943.73
2025-06-20,Unit 3,70.0,1721.24
2025-06-21,Unit 1,85.89,2037.35
2025-06-21,Unit 2,94.8,2294.4
2025-06-21,Unit 3,91.44,2211.3
2025-06-22,Unit 1,83.31,2011.45
2025-06-22,Unit 2,93.48,2277.01
2025-06-22,Unit 3,84.63,2048.97
2025-06-23,Unit 1,100.0,2432.67
2025-06-23,Unit 2,88.81,2094.9
2025-06-23,Unit 3,83.7,1993.99
2025-06-24,Unit 1,100.0,2407.33
2025-06-24,Unit 2,81.02,1940.81
2025-06-24,Unit 3,90.39,2148.95
2025-06-25,Unit 1,93.48,2237.43
2025-06-25,Unit 2,92.09,2209.58
2025-06-25,Unit 3,100.0,2403.95
2025-06-26,Unit 1,88.48,2093.52
2025-06-26,Unit 2,93.45,2257.67
2025-06-26,Unit 3,96.74,2322.19
2025-06-27,Unit 1,90.16,2144.28
2025-06-27,Unit 2,80.86,1918.83
2025-06-27,Unit 3,89.52,2121.73
2025-06-28,Unit 1,78.35,1871.89
2025-06-28,Unit 2,86.68,2057.76
2025-06-28,Unit 3,100.0,2420.15
2025-06-29,Unit 1,92.35,2221.35
2025-06-29,Unit 2,88.53,2124.41
2025-06-29,Unit 3,91.07,2194.33
2025-06-30,Unit 1,72.44,1770.67
2025-06-30,Unit 2,88.18,2113.56
2025-06-30,Unit 3,80.08,1891.95
2025-07-01,Unit 1,88.11,2121.5
2025-07-01,Unit 2,85.14,2058.85
2025-07-01,Unit 3,95.12,2295.13
2025-07-02,Unit 1,93.19,2231.42
2025-07-02,Unit 2,86.18,2045.8
2025-07-02,Unit 3,83.28,2023.15
2025-07-03,Unit 1,89.38,2141.34
2025-07-03,Unit 2,93.95,2255.48
2025-07-03,Unit 3,92.16,2204.2
2025-07-04,Unit 1,95.37,2312.48
2025-07-04,Unit 2,98.38,2334.93
2025-07-04,Unit 3,88.1,2117.12
2025-07-05,Unit 1,98.08,2353.09
2025-07-05,Unit 2,95.55,2307.57
2025-07-05,Unit 3,91.44,2221.39
2025-07-06,Unit 1,88.31,2147.95
2025-07-06,Unit 2,85.65,2048.12
2025-07-06,Unit 3,100.0,2388.96
2025-07-07,Unit 1,85.95,2043.98
2025-07-07,Unit 2,76.29,1812.94
2025-07-07,Unit 3,100.0,2392.17
2025-07-08,Unit 1,80.04,1920.48
2025-07-08,Unit 2,74.76,1799.4
2025-07-08,Unit 3,85.4,2037.31
2025-07-09,Unit 1,100.0,2400.71
2025-07-09,Unit 2,94.44,2249.99
2025-07-09,Unit 3,90.38,2192.52
2025-07-10,Unit 1,96.58,2295.53
2025-07-10,Unit 2,89.82,2154.22
2025-07-10,Unit 3,97.44,2309.3
2025-07-11,Unit 1,74.42,1768.27
2025-07-11,Unit 2,79.37,1900.09
2025-07-11,Unit 3,100.0,2394.47
2025-07-12,Unit 1,90.77,2158.19
2025-07-12,Unit 2,95.71,2292.35
2025-07-12,Unit 3,70.02,1686.67
2025-07-13,Unit 1,91.4,2197.92
2025-07-13,Unit 2,84.86,2050.31
2025-07-13,Unit 3,89.46,2178.32
2025-07-14,Unit 1,99.82,2363.98
2025-07-14,Unit 2,85.19,2067.9
2025-07-14,Unit 3,89.01,2148.41
2025-07-15,Unit 1,92.7,2213.04
2025-07-15,Unit 2,91.92,2215.78
2025-07-15,Unit 3,93.48,2235.63
2025-07-16,Unit 1,84.68,2011.89
2025-07-16,Unit 2,91.1,2225.61
2025-07-16,Unit 3,89.11,2132.9
2025-07-17,Unit 1,78.59,1887.44
2025-07-17,Unit 2,90.88,2172.71
2025-07-17,Unit 3,92.73,2255.52
2025-07-18,Unit 1,75.81,1819.33
2025-07-18,Unit 2,89.13,2117.77
2025-07-18,Unit 3,84.55,1991.71
2025-07-19,Unit 1,100.0,2387.25
2025-07-19,Unit 2,80.58,1939.54
2025-07-19,Unit 3,100.0,2414.4
2025-07-20,Unit 1,79.29,1927.49
2025-07-20,Unit 2,95.8,2297.18
2025-07-20,Unit 3,82.28,2006.58
2025-07-21,Unit 1,95.8,2308.09
2025-07-21,Unit 2,100.0,2387.76
2025-07-21,Unit 3,92.7,2219.53
2025-07-22,Unit 1,100.0,2397.1
2025-07-22,Unit 2,75.63,1783.5
2025-07-22,Unit 3,100.0,2411.65
2025-07-23,Unit 1,100.0,2400.34
2025-07-23,Unit 2,84.2,2003.34
2025-07-23,Unit 3,100.0,2378.72
2025-07-24,Unit 1,89.5,2137.42
2025-07-24,Unit 2,81.8,1953.7
2025-07-24,Unit 3,88.45,2120.36
2025-07-25,Unit 1,88.07,2142.98
2025-07-25,Unit 2,88.23,2088.63
2025-07-25,Unit 3,88.52,2148.7
2025-07-26,Unit 1,83.72,1985.24
2025-07-26,Unit 2,93.31,2249.93
2025-07-26,Unit 3,88.26,2083.4
2025-07-27,Unit 1,78.95,1917.77
2025-07-27,Unit 2,80.24,1906.72
2025-07-27,Unit 3,88.99,2154.81
2025-07-28,Unit 1,97.25,2335.5
2025-07-28,Unit 2,96.74,2336.86
2025-07-28,Unit 3,97.04,2300.3
2025-07-29,Unit 1,97.52,2309.64
2025-07-29,Unit 2,87.24,2080.12
2025-07-29,Unit 3,98.78,2370.75
2025-07-30,Unit 1,74.8,1792.7
2025-07-30,Unit 2,87.82,2127.02
2025-07-30,Unit 3,86.95,2061.5
2025-07-31,Unit 1,92.31,2225.23
