Date,Unit,Coal Used (Ton),SFC (kg/MWh),Heat Rate (kcal/kWh),Boiler Efficiency (%)
2025-02-12,Unit 2,1074.96,452.05,2919.25,87.62
2025-02-12,Unit 3,912.63,447.53,2898.58,87.71
2025-02-13,Unit 1,972.33,449.16,2930.46,88.62
2025-02-13,Unit 2,931.99,463.61,2982.08,87.35
2025-02-13,Unit 3,915.77,449.78,2929.61,86.5
2025-02-14,Unit 1,1030.28,460.3,2983.38,87.08
2025-02-14,Unit 2,1085.88,466.11,2995.23,87.53
2025-02-14,Unit 3,1029.1,452.19,2932.96,87.57
2025-02-15,Unit 1,1078.69,451.74,2940.58,87.39
2025-02-15,Unit 2,1086.66,452.26,2920.59,88.12
2025-02-15,Unit 3,1079.52,449.42,2942.01,88.13
2025-02-16,Unit 1,980.1,452.44,2937.81,88.3
2025-02-16,Unit 2,895.32,456.53,2962.38,87.7
2025-02-16,Unit 3,1012.1,461.71,2989.15,88.76
2025-02-17,Unit 1,970.69,456.91,2941.59,87.78
2025-02-17,Unit 2,879.94,454.14,2927.81,87.66
2025-02-17,Unit 3,1098.13,456.61,2974.57,87.29
2025-02-18,Unit 1,915.33,457.62,2979.97,88.27
2025-02-18,Unit 2,999.09,461.67,2989.27,87.27
2025-02-18,Unit 3,930.94,452.69,2934.76,87.87
2025-02-19,Unit 1,1128.18,464.03,2981.59,87.62
2025-02-19,Unit 2,925.24,460.98,2986.71,87.15
2025-02-19,Unit 3,858.88,450.91,2954.85,88.8
2025-02-20,Unit 1,932.79,461.33,2983.15,87.89
2025-02-20,Unit 2,928.74,449.98,2923.93,87.95
2025-02-20,Unit 3,1076.53,452.71,2936.01,87.87
2025-02-21,Unit 1,1022.61,452.23,2942.86,87.38
2025-02-21,Unit 2,936.67,461.02,2995.3,86.43
2025-02-21,Unit 3,1016.99,455.12,2947.61,87.71
2025-02-22,Unit 1,932.22,461.89,2997.08,87.58
2025-02-22,Unit 2,1095.09,455.24,2956.73,88.75
2025-02-22,Unit 3,895.52,449.59,2910.75,87.68
2025-02-23,Unit 1,826.64,456.07,2937.08,87.87
2025-02-23,Unit 2,1063.24,450.18,2930.39,88.26
2025-02-23,Unit 3,959.41,457.21,2965.01,87.77
2025-02-24,Unit 1,906.74,451.93,2941.92,87.66
2025-02-24,Unit 2,1024.44,464.32,2989.73,87.62
2025-02-24,Unit 3,1011.1,460.09,2999.21,88.11
2025-02-25,Unit 1,1023.0,457.3,2965.76,87.64
2025-02-25,Unit 2,1015.47,448.7,2926.19,87.91
2025-02-25,Unit 3,1035.28,462.78,2986.89,87.22
2025-02-26,Unit 1,888.6,450.8,2937.11,88.33
2025-02-26,Unit 2,1087.93,454.49,2945.64,87.67
2025-02-26,Unit 3,987.43,456.11,2963.95,89.15
2025-02-27,Unit 1,910.46,450.95,2955.56,87.75
2025-02-27,Unit 2,933.93,452.92,2934.39,87.59
2025-02-27,Unit 3,974.51,451.62,2929.99,86.75
2025-02-28,Unit 1,1072.23,446.36,2913.61,87.06
2025-02-28,Unit 2,923.07,467.4,3017.66,87.69
2025-02-28,Unit 3,926.7,461.85,2978.25,87.41
2025-03-01,Unit 1,1078.24,451.94,2946.86,88.12
2025-03-01,Unit 2,1044.55,455.52,2927.49,87.26
2025-03-01,Unit 3,947.68,453.64,2949.96,87.16
2025-03-02,Unit 1,884.04,455.09,2952.83,87.18
2025-03-02,Unit 2,1087.17,456.28,2971.41,87.4
2025-03-02,Unit 3,1071.77,447.5,2932.09,86.8
2025-03-03,Unit 1,998.68,449.27,2940.44,87.5
2025-03-03,Unit 2,913.06,456.99,2943.23,87.86
2025-03-03,Unit 3,960.88,450.08,2926.09,87.77
2025-03-04,Unit 1,957.33,445.97,2907.59,87.09
2025-03-04,Unit 2,1088.46,452.58,2938.83,88.1
2025-03-04,Unit 3,1055.95,457.5,2991.89,88.48
2025-03-05,Unit 1,911.92,447.93,2904.46,87.85
2025-03-05,Unit 2,970.44,455.62,3001.92,87.05
2025-03-05,Unit 3,848.33,458.49,2999.11,87.1
2025-03-06,Unit 1,979.77,452.06,2968.9,88.08
2025-03-06,Unit 2,1062.0,446.59,2910.65,87.89
2025-03-06,Unit 3,930.48,454.47,2973.24,88.2
2025-03-07,Unit 1,996.39,457.49,2960.02,87.37
2025-03-07,Unit 2,887.77,454.54,2924.6,87.72
2025-03-07,Unit 3,1008.74,463.66,3026.09,87.03
2025-03-08,Unit 1,1047.44,458.19,2969.34,88.06
2025-03-08,Unit 2,882.11,455.19,2961.37,88.76
2025-03-08,Unit 3,1027.21,463.87,2966.14,87.09
2025-03-09,Unit 1,914.28,451.95,2926.04,87.3
2025-03-09,Unit 2,1000.88,451.39,2936.29,87.3
2025-03-09,Unit 3,978.86,463.57,3010.1,88.14
2025-03-10,Unit 1,977.82,458.55,2971.2,88.69
2025-03-10,Unit 2,1012.6,459.31,2967.75,88.07
2025-03-10,Unit 3,1032.18,451.56,2921.34,87.88
2025-03-11,Unit 1,948.11,455.7,2956.11,87.95
2025-03-11,Unit 2,997.04,464.4,2997.32,87.94
2025-03-11,Unit 3,872.17,457.66,2970.77,88.48
2025-03-12,Unit 1,1084.65,454.6,2954.75,87.92
2025-03-12,Unit 2,845.29,454.93,2951.26,88.05
2025-03-12,Unit 3,861.4,450.34,2891.06,88.16
2025-03-13,Unit 1,835.76,448.75,2909.14,88.09
2025-03-13,Unit 2,1083.75,452.28,2931.72,87.8
2025-03-13,Unit 3,872.6,451.65,2964.76,87.65
2025-03-14,Unit 1,1051.13,443.38,2864.29,88.77
2025-03-14,Unit 2,943.05,466.73,3022.52,87.52
2025-03-14,Unit 3,933.85,445.55,2896.31,87.85
2025-03-15,Unit 1,863.04,461.16,2971.71,87.77
2025-03-15,Unit 2,1002.3,450.03,2912.18,88.19
2025-03-15,Unit 3,1070.28,455.87,2941.52,87.25
2025-03-16,Unit 1,1052.34,456.47,2944.91,88.11
2025-03-16,Unit 2,1028.89,453.58,2972.85,89.67
2025-03-16,Unit 3,1037.51,456.48,2967.41,88.05
2025-03-17,Unit 1,968.48,465.59,2974.75,88.1
2025-03-17,Unit 2,1060.04,454.51,2949.54,87.26
2025-03-17,Unit 3,1080.15,450.02,2927.93,87.94
2025-03-18,Unit 1,865.41,456.83,2949.21,87.5
2025-03-18,Unit 2,874.56,456.51,2947.44,87.66
2025-03-18,Unit 3,1077.37,453.75,2950.83,88.6
2025-03-19,Unit 1,881.0,450.45,2940.6,88.42
2025-03-19,Unit 2,810.77,453.72,2946.71,87.84
2025-03-19,Unit 3,933.13,460.81,2991.23,87.11
2025-03-20,Unit 1,1087.98,461.07,2989.3,88.58
2025-03-20,Unit 2,960.33,466.07,2992.86,88.22
2025-03-20,Unit 3,1019.79,464.11,2999.51,86.89
2025-03-21,Unit 1,1039.87,452.99,2964.16,88.4
2025-03-21,Unit 2,1048.92,466.73,3005.89,87.43
2025-03-21,Unit 3,1020.32,462.76,3020.91,87.35
2025-03-22,Unit 1,932.26,448.62,2918.49,86.65
2025-03-22,Unit 2,976.74,455.67,2965.19,88.0
2025-03-22,Unit 3,1050.76,459.06,2950.05,87.01
2025-03-23,Unit 1,983.21,450.23,2915.09,87.14
2025-03-23,Unit 2,934.31,447.14,2875.88,87.16
2025-03-23,Unit 3,944.21,462.33,2992.26,86.7
2025-03-24,Unit 1,1080.14,452.25,2924.01,87.26
2025-03-24,Unit 2,1089.69,458.94,2992.04,87.49
2025-03-24,Unit 3,917.45,454.15,2945.92,88.04
2025-03-25,Unit 1,1040.47,448.45,2939.22,88.4
2025-03-25,Unit 2,1016.63,452.02,2915.33,87.68
2025-03-25,Unit 3,887.18,442.46,2878.18,87.93
2025-03-26,Unit 1,1014.77,457.86,2942.49,86.96
2025-03-26,Unit 2,959.19,450.95,2931.31,87.45
2025-03-26,Unit 3,1101.58,467.6,2994.54,88.58
2025-03-27,Unit 1,948.06,461.92,2973.36,86.78
2025-03-27,Unit 2,940.4,461.99,2990.64,88.77
2025-03-27,Unit 3,916.67,466.48,3027.2,88.24
2025-03-28,Unit 1,858.38,447.92,2922.86,88.18
2025-03-28,Unit 2,910.03,446.56,2909.24,87.64
2025-03-28,Unit 3,1029.85,450.83,2940.49,88.17
2025-03-29,Unit 1,990.67,459.99,2971.42,87.48
2025-03-29,Unit 2,1016.61,458.82,2944.33,86.91
2025-03-29,Unit 3,994.85,455.29,2929.13,86.96
2025-03-30,Unit 1,848.05,450.99,2947.77,88.5
2025-03-30,Unit 2,1036.76,457.94,2970.75,87.19
2025-03-30,Unit 3,898.88,464.32,3009.29,88.1
2025-03-31,Unit 1,1002.83,460.11,3001.9,88.74
2025-03-31,Unit 2,945.49,457.3,2970.95,87.32
2025-03-31,Unit 3,1054.25,454.56,2944.72,87.35
2025-04-01,Unit 1,877.23,455.76,2934.92,88.15
2025-04-01,Unit 2,854.29,458.72,2970.35,87.74
2025-04-01,Unit 3,988.16,445.25,2904.5,87.81
2025-04-02,Unit 1,945.28,450.86,2879.44,86.92
2025-04-02,Unit 2,961.08,457.83,2968.06,87.05
2025-04-02,Unit 3,984.01,458.47,2948.0,87.97
2025-04-03,Unit 1,1006.17,449.93,2916.69,88.52
2025-04-03,Unit 2,979.54,452.36,2931.38,88.12
2025-04-03,Unit 3,1004.09,451.4,2944.45,87.78
2025-04-04,Unit 1,1002.93,456.13,2953.05,88.16
2025-04-04,Unit 2,967.38,448.8,2941.99,87.69
2025-04-04,Unit 3,987.56,448.81,2942.03,87.68
2025-04-05,Unit 1,858.36,455.67,2942.39,88.25
2025-04-05,Unit 2,1069.5,459.29,2968.54,87.76
2025-04-05,Unit 3,993.41,455.13,2937.34,88.37
2025-04-06,Unit 1,1069.3,450.97,2922.84,87.11
2025-04-06,Unit 2,885.4,452.74,2951.08,88.29
2025-04-06,Unit 3,1045.55,448.84,2915.14,88.16
2025-04-07,Unit 1,1077.0,450.39,2932.15,87.36
2025-04-07,Unit 2,1077.93,461.37,2982.83,88.45
2025-04-07,Unit 3,931.15,454.02,2941.99,87.42
2025-04-08,Unit 1,867.25,457.57,2967.24,88.03
2025-04-08,Unit 2,1024.26,451.77,2917.72,87.93
2025-04-08,Unit 3,1045.78,456.7,2951.89,88.42
2025-04-09,Unit 1,937.23,449.64,2926.05,88.07
2025-04-09,Unit 2,953.8,462.38,2981.75,87.9
2025-04-09,Unit 3,877.1,445.0,2917.37,87.6
2025-04-10,Unit 1,1066.3,457.18,2950.3,87.23
2025-04-10,Unit 2,928.85,448.0,2881.13,87.4
2025-04-10,Unit 3,877.05,456.89,2953.52,87.64
2025-04-11,Unit 1,975.52,457.88,2962.99,88.05
2025-04-11,Unit 2,922.02,456.51,2982.27,88.44
2025-04-11,Unit 3,928.56,458.06,2960.8,87.07
2025-04-12,Unit 1,1055.78,458.45,2951.09,87.26
2025-04-12,Unit 2,878.15,449.44,2936.59,86.62
2025-04-12,Unit 3,1097.05,452.2,2928.98,87.46
2025-04-13,Unit 1,1037.91,457.01,2931.08,87.39
2025-04-13,Unit 2,1015.19,452.84,2927.11,86.99
2025-04-13,Unit 3,1070.73,449.38,2917.19,88.17
2025-04-14,Unit 1,1059.2,454.12,2933.1,87.84
2025-04-14,Unit 2,991.98,463.51,2987.06,88.7
2025-04-14,Unit 3,1083.96,455.27,2959.67,89.26
2025-04-15,Unit 1,1044.31,459.46,2996.67,88.35
2025-04-15,Unit 2,834.71,447.27,2899.22,88.23
2025-04-15,Unit 3,1074.44,452.87,2936.57,87.61
2025-04-16,Unit 1,1103.92,460.33,2982.45,88.57
2025-04-16,Unit 2,1033.21,458.09,2971.04,88.46
2025-04-16,Unit 3,846.1,451.33,2932.93,87.67
2025-04-17,Unit 1,1054.81,453.37,2955.08,88.23
2025-04-17,Unit 2,910.15,452.54,2905.44,88.33
2025-04-17,Unit 3,841.21,445.02,2919.26,88.0
2025-04-18,Unit 1,799.11,450.64,2916.35,88.01
2025-04-18,Unit 2,862.66,462.18,3007.56,87.78
2025-04-18,Unit 3,904.33,451.35,2947.02,88.08
2025-04-19,Unit 1,904.55,448.92,2944.93,88.45
2025-04-19,Unit 2,887.18,454.77,2941.14,88.32
2025-04-19,Unit 3,994.87,455.23,2962.69,86.74
2025-04-20,Unit 1,910.87,445.92,2877.69,86.99
2025-04-20,Unit 2,932.56,452.05,2957.04,88.88
2025-04-20,Unit 3,835.08,459.73,2976.85,88.42
2025-04-21,Unit 1,889.45,450.32,2947.19,86.87
2025-04-21,Unit 2,794.67,445.72,2912.55,87.19
2025-04-21,Unit 3,882.88,455.36,2964.41,87.59
2025-04-22,Unit 1,929.95,450.64,2924.68,88.28
2025-04-22,Unit 2,949.26,457.55,2981.35,88.14
2025-04-22,Unit 3,879.28,462.1,3006.5,88.13
2025-04-23,Unit 1,794.78,452.37,2924.41,87.43
2025-04-23,Unit 2,954.76,451.36,2940.91,88.11
2025-04-23,Unit 3,1002.05,457.67,2975.14,88.47
2025-04-24,Unit 1,1025.12,460.96,2940.17,87.61
2025-04-24,Unit 2,1011.23,461.47,2961.27,89.39
2025-04-24,Unit 3,875.04,446.12,2896.64,88.45
2025-04-25,Unit 1,1052.31,444.94,2907.26,86.3
2025-04-25,Unit 2,904.44,450.6,2950.48,88.91
2025-04-25,Unit 3,955.83,451.85,2939.23,88.67
2025-04-26,Unit 1,942.71,451.97,2937.28,87.58
2025-04-26,Unit 2,917.81,451.26,2934.37,87.18
2025-04-26,Unit 3,915.51,453.94,2919.07,88.29
2025-04-27,Unit 1,959.74,450.77,2916.6,87.16
2025-04-27,Unit 2,1080.61,445.32,2920.17,87.56
2025-04-27,Unit 3,1076.54,452.86,2944.33,87.66
2025-04-28,Unit 1,796.71,444.92,2892.92,87.26
2025-04-28,Unit 2,964.89,447.68,2894.73,88.8
2025-04-28,Unit 3,974.87,451.84,2931.35,87.83
2025-04-29,Unit 1,982.54,458.92,2961.11,88.05
2025-04-29,Unit 2,1027.11,461.31,2996.41,87.43
2025-04-29,Unit 3,965.84,450.89,2942.14,88.49
2025-04-30,Unit 1,1115.88,459.85,2948.14,88.22
2025-04-30,Unit 2,1093.69,456.13,2932.38,88.34
2025-04-30,Unit 3,934.79,454.42,2945.75,87.88
2025-05-01,Unit 1,858.22,461.91,2981.83,87.74
2025-05-01,Unit 2,1098.41,460.51,2959.54,86.41
2025-05-01,Unit 3,1061.98,460.09,2969.92,86.99
2025-05-02,Unit 1,999.44,461.45,2968.4,88.26
2025-05-02,Unit 2,897.72,452.64,2949.63,87.31
2025-05-02,Unit 3,1040.23,455.69,2964.0,88.47
2025-05-03,Unit 1,939.54,457.07,2975.7,87.63
2025-05-03,Unit 2,990.31,455.37,2942.61,87.05
2025-05-03,Unit 3,1008.66,451.68,2947.05,88.08
2025-05-04,Unit 1,1003.88,452.03,2932.67,87.93
2025-05-04,Unit 2,891.4,457.37,2962.38,86.62
2025-05-04,Unit 3,1035.76,449.95,2918.99,87.73
2025-05-05,Unit 1,1004.15,455.57,2974.39,88.63
2025-05-05,Unit 2,1079.95,459.48,2980.5,87.93
2025-05-05,Unit 3,1089.66,456.48,2968.2,87.86
2025-05-06,Unit 1,1073.07,446.51,2887.82,87.57
2025-05-06,Unit 2,913.89,452.75,2915.64,87.95
2025-05-06,Unit 3,971.9,458.34,2952.18,88.28
2025-05-07,Unit 1,1020.21,462.31,3000.78,87.95
2025-05-07,Unit 2,847.07,454.97,2916.92,87.7
2025-05-07,Unit 3,1008.15,457.32,2982.52,88.23
2025-05-08,Unit 1,956.95,450.61,2922.93,87.65
2025-05-08,Unit 2,957.97,449.01,2910.82,88.36
2025-05-08,Unit 3,985.5,452.25,2935.78,87.74
2025-05-09,Unit 1,1086.63,461.68,2984.33,88.03
2025-05-09,Unit 2,1057.74,445.69,2897.27,88.35
2025-05-09,Unit 3,1037.94,456.88,2950.7,87.43
2025-05-10,Unit 1,1033.43,449.16,2940.5,87.88
2025-05-10,Unit 2,1006.26,461.32,2969.08,88.15
2025-05-10,Unit 3,964.1,461.44,2973.86,88.6
2025-05-11,Unit 1,935.34,455.67,2971.09,87.28
2025-05-11,Unit 2,986.24,460.13,3011.53,88.03
2025-05-11,Unit 3,961.96,456.14,2957.5,87.4
2025-05-12,Unit 1,961.72,450.83,2901.37,88.27
2025-05-12,Unit 2,915.23,452.34,2919.42,86.1
2025-05-12,Unit 3,923.91,456.54,2933.45,87.98
2025-05-13,Unit 1,975.15,454.5,2963.49,87.61
2025-05-13,Unit 2,948.7,450.58,2914.14,87.12
2025-05-13,Unit 3,988.71,455.99,2964.92,87.21
2025-05-14,Unit 1,990.21,463.31,2986.12,87.83
2025-05-14,Unit 2,979.49,458.0,2962.31,87.9
2025-05-14,Unit 3,1002.76,455.71,2963.3,88.29
2025-05-15,Unit 1,857.31,457.53,2967.04,88.8
2025-05-15,Unit 2,883.48,457.62,2951.73,87.22
2025-05-15,Unit 3,1081.71,455.13,2927.6,88.12
2025-05-16,Unit 1,1087.32,454.77,2958.12,88.78
2025-05-16,Unit 2,1023.01,456.81,2958.15,88.48
2025-05-16,Unit 3,979.58,453.17,2941.06,88.09
2025-05-17,Unit 1,1099.25,462.24,2977.23,87.51
2025-05-17,Unit 2,1036.99,461.96,2983.32,87.14
2025-05-17,Unit 3,884.02,453.95,2940.15,88.24
2025-05-18,Unit 1,1073.91,457.15,2979.26,88.0
2025-05-18,Unit 2,876.86,457.63,2980.2,87.45
2025-05-18,Unit 3,1041.28,457.41,2950.14,88.21
2025-05-19,Unit 1,1014.03,463.83,3022.18,88.05
2025-05-19,Unit 2,1007.33,455.13,2972.17,87.59
2025-05-19,Unit 3,1088.38,453.79,2946.4,89.12
2025-05-20,Unit 1,1099.92,463.57,2986.96,87.43
2025-05-20,Unit 2,1099.78,455.92,2965.44,87.6
2025-05-20,Unit 3,953.47,456.61,2959.22,87.9
2025-05-21,Unit 1,859.59,461.18,2984.82,87.43
2025-05-21,Unit 2,992.33,456.31,2948.04,87.13
2025-05-21,Unit 3,1065.71,451.56,2924.0,87.06
2025-05-22,Unit 1,964.81,451.41,2935.39,87.58
2025-05-22,Unit 2,932.33,457.05,2964.18,87.98
2025-05-22,Unit 3,988.27,454.91,2937.5,88.13
2025-05-23,Unit 1,1034.7,456.25,2939.78,87.74
2025-05-23,Unit 2,934.15,455.55,2980.65,88.39
2025-05-23,Unit 3,1050.6,447.03,2916.22,87.34
2025-05-24,Unit 1,966.79,459.92,2958.85,87.69
2025-05-24,Unit 2,1047.78,448.89,2918.74,88.09
2025-05-24,Unit 3,1106.03,459.82,2967.14,86.96
2025-05-25,Unit 1,1093.82,450.8,2923.38,88.91
2025-05-25,Unit 2,961.51,451.99,2933.94,87.94
2025-05-25,Unit 3,782.15,451.43,2927.31,87.87
2025-05-26,Unit 1,1009.77,453.21,2938.34,88.12
2025-05-26,Unit 2,1107.75,463.9,3018.89,88.58
2025-05-26,Unit 3,1084.75,448.9,2917.52,88.14
2025-05-27,Unit 1,1111.9,462.18,2998.54,88.5
2025-05-27,Unit 2,929.09,458.69,2987.89,88.13
2025-05-27,Unit 3,1065.81,456.9,2946.84,88.13
2025-05-28,Unit 1,978.49,456.62,2957.71,88.57
2025-05-28,Unit 2,837.51,456.55,2959.14,86.97
2025-05-28,Unit 3,920.92,458.12,2944.83,86.47
2025-05-29,Unit 1,961.28,460.42,2976.28,87.47
2025-05-29,Unit 2,999.88,452.2,2932.71,88.26
2025-05-29,Unit 3,917.14,458.76,2974.94,87.66
2025-05-30,Unit 1,924.9,450.32,2938.86,87.89
2025-05-30,Unit 2,1085.25,455.35,2929.52,87.87
2025-05-30,Unit 3,931.41,454.9,2955.56,87.25
2025-05-31,Unit 1,939.9,459.83,2977.53,87.19
2025-05-31,Unit 2,1070.92,455.24,2931.13,88.32
2025-05-31,Unit 3,806.68,458.35,2969.04,88.11
2025-06-01,Unit 1,841.22,445.06,2902.24,87.37
2025-06-01,Unit 2,1114.59,462.04,2969.25,87.7
2025-06-01,Unit 3,1025.28,448.19,2913.83,88.56
